Cliff Okuneva Sr., Growlithe, prairie dog
Mrs. Denver Barton, Machop, jackal
Yuriko Lynch, Diglett, raccoon
Domenic Auer DVM, Nidoran, antelope
Tana Buckridge, Primeape, hyena
Miss Lisandra Gleason, Charizard, louse
Paola Kunde IV, Nidorino, bee
Cliff O'Keefe, Pidgeotto, mosquito
Micah Willms Sr., Nidorino, beaver
Kim Anderson, Lickitung, minnow
Alfonso Ondricka, Oddish, mole
Felipe Douglas, Nidorino, weasel
Alejandro Wiegand, Grimer, kangaroo
Jefferey Reynolds, Snorlax, wasp
Ms. Georgene Collins, Horsea, sardine
Claude Swift, Charmander, turtle 
Marsha Christiansen, Snorlax, panda
Marhta Leuschke, Slowpoke, gnu
Nona Daugherty, Weepinbell, rabbit
Shayne Mueller, Slowpoke, worm
Freddy Moore, Nidoran, turtle 
Mauricio Ortiz, Poliwag, wasp
Jacquelyn Block II, Raichu, porcupine
Sun Collins I, Nidorino, wallaby
Verla Miller, Blastoise, mole
Mikel Bernier, Horsea, goose
Ms. Alfred Marks, Mewtwo, lion
Bobbie Wolff, Sandslash, wolf
Bok Bode II, Sandslash, goose
Guadalupe Predovic, Gloom, porcupine
Leonor Wiegand, Lickitung, lizard
Ollie Skiles PhD, Venusaur, chimpanzee
Deshawn Breitenberg, Diglett, raccoon
Gavin Herman, Kangaskhan, pig
Ms. Pia Murray, Growlithe, alpaca
Lida Mueller, Meowth, wildebeest
Morris Hudson, Golbat, bat
Chris Jacobson, Hypno, muskrat
Mrs. Hiram Sanford, Zapdos, turtle 
Reyna Cummings, Ninetales, hyena
Donte Rath, Kakuna, armadillo
Celsa Larson PhD, Eevee, monkey
Mrs. Kris Gorczany, Fearow, locust
Isidro McKenzie, Exeggcute, koala
Junita Hettinger, Magmar, ox
Myrtie Blick, Vaporeon, goldfish
Randall Heller, Dragonair, gnat
Miki Russel Sr., Eevee, clam
Ms. Enoch Hahn, Clefairy, frog
Mrs. Alleen Carroll, Dodrio, armadillo
