Marisela Stanton, Nidoking, kangaroo
Doreatha Feest, Machoke, wallaby
Ronnie Boyer, Wigglytuff, cicada
Darren Parker, Clefable, gnu
Monroe Schneider, Shellder, llama
Marcelino Hintz, Vileplume, grasshopper
Dr. Ken Kirlin, Lickitung, koala
Arlena Ryan, Goldeen, prairie dog
Suzann Feeney, Flareon, crab
Rick Hackett, Magneton, lion
Horace Hermiston, Shellder, turtle 
Eusebio Botsford, Mankey, trout
Essie Purdy, Staryu, snake
Miss Barbar Hilpert, Kabutops, mink
Dorthea King, Ponyta, kangaroo
Dorla MacGyver III, Butterfree, hyena
Mrs. Minh Keeling, Kingler, platypus
Jamel Kautzer Jr., Bellsprout, turtle 
Chloe Senger, Drowzee, bat
Dusti Abbott, Seaking, badger
Cruz Daniel, Ditto, ferret
Keith Schuppe, Charmander, eel
Katherine Vandervort, Wigglytuff, camel
Mrs. Kennith Quitzon, Victreebel, hornet
Ms. Arlie Botsford, Krabby, macaw
Guadalupe Kuhn, Tangela, buffalo
Johnie Goldner, Machoke, cod
Loria Strosin, Gloom, armadillo
Miss Booker Raynor, Psyduck, dinosaur
Linh Feest, Lickitung, ant
Mr. Jeraldine Weissnat, Psyduck, fly
Luther Wuckert, Hypno, ant
Craig Reynolds, Gastly, cockroach
Pierre Goldner, Tentacool, buffalo
Mrs. Lorna Brown, Seel, dinosaur
Marlo Boehm, Arbok, hedgehog
Ramiro Simonis, Gastly, mule
Gordon Heidenreich, Kabutops, swan
Luigi Corwin, Hitmonlee, wombat
Loreta Koepp, Parasect, duck
Melda Paucek PhD, Tentacruel, donkey
Gidget McKenzie IV, Arcanine, termite
Kermit Simonis, Sandslash, cricket
Danyel Zieme, Weedle, seal
Caroyln Bashirian, Psyduck, eel
Cliff Wolff, Seel, hare
Ricky Welch, Machop, dinosaur
Tara Bahringer, Kakuna, spider
Sharleen Vandervort, Porygon, snail
Lisbeth Osinski, Voltorb, dinosaur
