Sal Daniel, Caterpie, eel
Elinor Johnston, Flareon, tortoise
Mrs. Donald Bruen, Snorlax, beetle
Mr. Steve Satterfield, Persian, gnu
Bernard Hettinger I, Arcanine, gerbil
Ethelene Baumbach, Rapidash, lion
Landon Batz IV, Grimer, elk
Ms. Sandy Feest, Meowth, beaver
Elbert Farrell, Bellsprout, chimpanzee
Kraig O'Kon, Jynx, alpaca
Daysi Paucek, Graveler, beaver
Thu Stiedemann, Magneton, wildebeest
Erinn Rowe, Gastly, rhinoceros
Gilberto Corwin, Dodrio, crocodile
Reginald Veum, Slowbro, kangaroo
Lavone Bahringer, Dewgong, trout
Mrs. Maudie Torp, Weepinbell, mule
Marcie Rowe, Sandshrew, jackal
Willy Wunsch, Kabutops, locust
Rupert Kuhlman, Nidoqueen, yak
Gene Parker, Growlithe, coyote
Sheila Goyette, Abra, moose
Shirlee Shanahan, Venusaur, butterfly
Venus Nikolaus, Wartortle, hamster
Miss Gertrude Terry, Seel, beetle
Venetta Lesch, Sandshrew, zebra
Lashon Douglas, Pidgeotto, prairie dog
Denis Ruecker, Gengar, dinosaur
Ms. Bill Berge, Clefable, frog
Dr. Hoyt Schowalter, Starmie, turtle 
Alpha Swaniawski, Zapdos, mole
Herschel Marquardt II, Machoke, yak
Mr. Fidel Nitzsche, Lapras, locust
Salley Mosciski, Tangela, chinchilla
Faviola Robel, Dragonair, ant
Mr. Ricky Zulauf, Hypno, spider
Grant Pouros MD, Drowzee, wombat
Roman Predovic, Seaking, wasp
Rosy McGlynn, Weepinbell, tortoise
Lanie Funk DDS, Raichu, hyena
Kary Homenick, Mankey, donkey
Conception Bogisich, Venomoth, dog
Dotty Moen, Pikachu, eel
Eddie Botsford, Sandshrew, cockroach
Lyle Jaskolski, Ivysaur, locust
Ashlie Wiegand, Wigglytuff, goat
Alyse Bernhard, Weezing, eagle
Ms. Jason Hahn, Pidgeot, crocodile
Stuart Smitham IV, Flareon, badger
Syble Haag, Rattata, otter
