Quincy Schulist, Psyduck, locust
Felix Sipes, Cubone, jackal
Miss Rochell Hermiston, Victreebel, raven
Ernie Schinner, Gengar, rat
Kendall Windler, Electabuzz, manatee
Hsiu Sipes, Jynx, caribou
Sherrell Ernser, Magmar, squirrel
Mr. Mozella Turcotte, Seel, raccoon
Eden Carter, Staryu, pig
Wendi Keebler, Zapdos, otter
Mr. Gus Schuster, Slowbro, serval
Vickey Stroman, Doduo, guinea pig
Chung Becker Jr., Rhydon, minnow
Marlon Feeney, Primeape, eagle
Sunny Gerhold, Machamp, whale
Ms. Samuel Thiel, Graveler, cat
Georgie Shields, Sandshrew, beaver
Divina Schaden, Wartortle, squirrel
Harry Gutkowski, Magnemite, kangaroo
Zenia Lakin Sr., Tauros, raccoon
Val Schimmel, Charmander, rabbit
Shaquita Dicki, Goldeen, hornet
Miss Veronica Rippin, Mr. Mime, cod
Agustina Ortiz, Rhyhorn, pig
Racheal Dibbert, Muk, bear
Latanya Strosin, Tangela, dinosaur
Ramon Kessler, Exeggcute, wombat
Miss Sung Hartmann, Psyduck, giraffe
Miss Ismael Herzog, Fearow, water buffalo
Anderson Little, Seaking, bear
Ms. Cruz Blick, Chansey, pug
Margart Stracke, Primeape, whale
Edmund Flatley, Caterpie, dog
Kory Nienow, Weezing, wildebeest
Troy Tillman, Pidgeotto, pig
Narcisa Johns, Poliwrath, snail
Murray Johnston, Rhydon, squirrel
Virgilio Keeling, Venonat, llama
Ronnie Roob, Raichu, mouse
Jefferey Batz, Jynx, alligator
Anissa Schinner Sr., Ninetales, clam
Verlene McCullough, Bulbasaur, caribou
Columbus Rath, Pidgeotto, cod
Charlie Kshlerin DDS, Scyther, gnu
Aundrea Halvorson, Lapras, koala
Crysta Abernathy, Rattata, ox
Ms. Ayako Pouros, Metapod, bat
Ione Dibbert, Eevee, pig
Ramon Walker, Gengar, coyote
Kelvin Bradtke, Lickitung, leopard
