Bernard Muller, Electrode, spider
Hank Schroeder, Jigglypuff, monkey
Rusty Von, Jigglypuff, duck
Dick Ankunding Jr., Machoke, hamster
Larissa Greenfelder, Pinsir, frog
Ruby Bayer, Wartortle, giraffe
Diego Kuvalis, Metapod, gnat
Eva Abernathy II, Exeggcute, ferret
Camilla Olson, Seaking, hound
Elvina Frami MD, Eevee, beetle
Renato Sauer DDS, Slowbro, eel
Veronica Wiegand, Golduck, muskrat
Mrs. Morgan Parisian, Omastar, wallaby
Felipe McClure, Arbok, fox
Lynn Daniel, Hypno, eagle
Mariella Koepp, Raticate, antelope
Renay Kub, Tentacruel, eagle
Cole Ankunding, Poliwhirl, fish
Dee Brekke PhD, Dugtrio, grasshopper
Nigel Bechtelar, Exeggutor, zebra
Franchesca Gutmann, Blastoise, bee
Shameka Keeling, Rhydon, alligator
Nan Pfeffer, Farfetch'd, raccoon
Dr. King Hilll, Doduo, seal
Yan Hoppe III, Muk, hedgehog
Carina VonRueden, Machoke, hamster
Miss Hollis Jast, Kangaskhan, mammoth
Booker Kuhn, Venomoth, elk
Candace Hoeger, Venusaur, hare
Cira Kunze, Clefable, cricket
Ms. Ashley Schmeler, Nidoran, worm
Deandra Hagenes, Marowak, koala
Ms. Clarence Mills, Kabuto, yak
Autumn Hilll, Arbok, gerbil
Mr. Clarine Kulas, Arbok, bee
Davis Hills, Seaking, elephant
Stefan Schamberger, Haunter, lizard
Miss Elijah Wehner, Weezing, minnow
Mrs. Gregg Williamson, Clefairy, hippopotamus
Guadalupe Barrows I, Golduck, fly
Breanne Bradtke, Cloyster, jackal
Neal Bergstrom, Exeggutor, impala
Alda Rice, Nidoking, cat
Cami Keeling, Wigglytuff, alligator
Liane Prohaska, Pinsir, mouse
Ms. Loris Considine, Arbok, toad
Malik Gleason, Kingler, wildebeest
Mrs. Scarlett Mertz, Ponyta, mosquito
Benjamin Bins, Persian, eagle
Hanna Stoltenberg III, Nidoran, wolf
