Mary Langosh, Beedrill, woodchuck
Jean Donnelly I, Charmeleon, gerbil
Mrs. Pablo Stiedemann, Gyarados, clam
Angie Bartoletti, Mewtwo, frog
Flossie Ferry V, Primeape, monkey
Dewayne Jerde, Arbok, wasp
Grazyna Osinski, Machamp, sea lion
Galen Rosenbaum, Cubone, crab
Idell Shanahan, Vulpix, squirrel
Mr. Efren Satterfield, Tangela, gnat
Delbert Bins, Magmar, whale
Sanford Nikolaus, Krabby, weasel
Derek Franecki, Starmie, ox
Gillian Kessler, Raichu, crow
Anna Rowe, Moltres, monkey
Thersa Bashirian, Caterpie, lion
Andria Hodkiewicz, Moltres, wildebeest
Bradley Mueller, Poliwrath, cod
Dudley Prohaska, Gyarados, jackal
Miss Rob Hackett, Abra, alligator
Cody Hickle, Geodude, cicada
Jonna Pollich III, Venonat, manatee
Scottie Hudson, Nidorino, beaver
Johanna Abshire, Golbat, fish
Dominick Wiegand III, Staryu, snail
Pearline Larson I, Paras, lizard
Corey Wintheiser, Venonat, llama
Roosevelt Cole, Diglett, termite
Paris Kemmer, Electrode, cricket
Kerri Macejkovic III, Chansey, hare
Nubia Jacobson, Hypno, scorpion
Stevie Ruecker Sr., Grimer, pig
Adrian Mueller Sr., Poliwhirl, rhinoceros
Sidney Robel I, Gloom, chinchilla
Mrs. Nickolas Waters, Goldeen, jellyfish
Pierre Ondricka, Rattata, wallaby
Rod Wiegand, Slowbro, camel
Irving Quigley, Onix, elk
Bianca Fisher, Gengar, spider
Tommy Bruen, Aerodactyl, hyena
Hershel Prosacco, Geodude, alpaca
Gus Stark, Psyduck, herring
Deeann Stoltenberg, Hypno, macaw
Minh Gulgowski, Golduck, swan
Pamila Bergstrom PhD, Pidgey, yak
Kimiko Ziemann, Tauros, weasel
Alec Mayert, Rapidash, otter
Elizbeth Monahan, Golbat, louse
Barbar Mitchell, Nidoqueen, locust
Agustin Little, Gengar, wildebeest
