Miss Sal Nicolas, Parasect, squirrel
Alessandra Barton, Krabby, cattle
Mr. Julianna Grady, Weepinbell, mosquito
Nieves Cassin Sr., Dragonite, pig
Maragret Stoltenberg, Tauros, hippopotamus
Norberto Corkery, Pidgey, baboon
Coy Corwin V, Vileplume, moose
Vaughn Bahringer Jr., Mewtwo, turtle 
Billie Tillman II, Jigglypuff, woodchuck
Elisa Prohaska, Dragonite, snail
Alma Schuster PhD, Golduck, zebra
Jessie Sauer, Mankey, yellowjacket
Marcelo Becker Sr., Meowth, moose
Crysta Vandervort Sr., Growlithe, coyote
Jorge Lebsack, Butterfree, duck
Edmund Dickens, Wigglytuff, fox
Long Stehr DVM, Cubone, trout
Ozie Turner, Paras, toad
Jenae Koepp, Lickitung, alpaca
Mariano Ryan, Weezing, minnow
Kiana Stehr MD, Sandshrew, mouse
Wallace Jenkins, Nidorina, tiger
Ambrose Hilpert, Nidoqueen, koala
Krystina Walker, Exeggutor, chimpanzee
Dr. Barney Rippin, Gengar, manatee
Ivonne Grimes, Cubone, termite
Teresita Beahan, Oddish, hornet
Avery Yundt, Abra, grasshopper
Gustavo Nikolaus, Bulbasaur, ox
Roderick Kub, Vulpix, serval
Irish Shanahan, Alakazam, beetle
Maryetta Kozey, Poliwhirl, sea lion
Isidro Reinger, Pidgeot, sardine
Alease Gislason Jr., Meowth, jackal
Elma Ward, Exeggutor, horse
Britt Schimmel, Nidoran, mammoth
Claude Price, Magikarp, deer
Kam Paucek, Paras, chimpanzee
Antwan Johnston V, Beedrill, skunk
Elliott Ankunding, Magneton, hare
Wilbert Rutherford, Dugtrio, louse
Gabriela Turner, Exeggutor, ant
Dr. Patrina Metz, Tentacool, platypus
Lauren Bogan, Zapdos, duck
Shoshana Rohan, Omanyte, sea lion
Dorthy Kutch, Hitmonlee, termite
Dallas Farrell MD, Arbok, mosquito
Giuseppina Johnston, Poliwrath, wolf
Philip Kuhlman, Tentacool, walrus
Andrea Jerde, Meowth, beetle
