Hyman Emmerich, Sandslash, worm
Kirsten Kautzer Sr., Victreebel, wildebeest
Daryl Sawayn, Scyther, ape
Emory Tillman, Tangela, mink
Nick Ebert, Parasect, shark
Miles Kohler, Machamp, bat
Johnnie Mayer II, Farfetch'd, water buffalo
Graig Cremin, Goldeen, clam
Anjanette Armstrong, Mew, pig
Mr. Neville Schoen, Poliwag, turtle 
Sophia Haley, Exeggutor, horse
Ms. Rhona Schoen, Metapod, turtle 
Ginette Stehr, Vulpix, duck
Eleanore Waters, Fearow, dinosaur
Earle Marks, Eevee, porcupine
Mrs. Ashely Veum, Gastly, sea lion
Julius Ortiz DDS, Caterpie, shark
Minta Halvorson, Ponyta, fish
Mr. Jerold Powlowski, Tentacruel, porcupine
Suzann Beahan, Machoke, pig
Ms. Marni Zulauf, Clefairy, clam
Alonso Rosenbaum DDS, Cubone, hare
Logan Feest PhD, Magikarp, cod
Ivey Larson, Gastly, hornet
Quincy Hyatt, Diglett, cheetah
Leslie Hayes, Raticate, whale
Bryanna Hudson Sr., Bulbasaur, ox
Efrain Grimes DVM, Snorlax, grasshopper
Mr. Rusty Jones, Tauros, porcupine
Andra Hegmann, Machamp, mallard
Kaycee Stark, Bulbasaur, sea lion
Lucas Rogahn, Poliwrath, herring
Jose Block DVM, Exeggcute, monkey
Theodore Haley II, Tangela, herring
Tad Bailey, Marowak, gorilla
Lourdes Denesik, Ekans, zebra
Alfredo Swift, Doduo, bear
Alba MacGyver, Doduo, serval
Stephnie Prosacco PhD, Magikarp, cat
Romeo Watsica DDS, Hitmonchan, raccoon
Rod Lang, Weezing, hornet
Madlyn Reichert PhD, Raticate, giraffe
Eusebia Price, Voltorb, manatee
Heath Will, Electrode, rabbit
Margarito Reichert, Exeggcute, sheep
Abe Jones IV, Primeape, hare
Marcela Hahn II, Machoke, snail
Louie Rosenbaum, Poliwhirl, tortoise
Al Runte, Clefable, goat
Gaston Beer, Magnemite, macaw
