Erika Gutkowski, Omanyte, alpaca
Joseph Bayer, Starmie, antelope
Devora O'Kon, Parasect, louse
Ryan Morar Sr., Kabuto, cricket
Miss Jamie Kerluke, Farfetch'd, snake
June Daugherty, Tauros, squirrel
Miss Kathyrn Bergnaum, Tangela, skunk
Xavier VonRueden, Beedrill, hyena
Jewell Kessler, Nidorino, antelope
Lisandra Witting, Poliwag, chimpanzee
Douglas Bergstrom, Scyther, yellowjacket
Mrs. Lonnie Dooley, Charmeleon, sheep
Ms. Agustin Lueilwitz, Nidoran, swan
Donte Swaniawski, Weezing, gnu
Dr. Nydia Baumbach, Krabby, elephant
Ms. Russel Weber, Starmie, ant
Gail Hessel, Krabby, alpaca
Dr. Latrisha Osinski, Mr. Mime, yellowjacket
Marcelene Schroeder, Chansey, mammoth
Ms. Toby Predovic, Omastar, wallaby
Mrs. Gonzalo Klocko, Jolteon, otter
Cheryle Miller, Hitmonlee, tortoise
Freddie Schuppe, Vaporeon, wasp
Shamika Mohr, Marowak, crow
Connie Nienow, Seaking, ant
Lane Kuhic III, Electabuzz, worm
Maurice Cummings DDS, Sandslash, sardine
Miss Georgiann Crist, Muk, gnu
Natalia Jacobi, Wartortle, hound
Arlyne Champlin, Horsea, seal
Lakita Wisoky, Onix, buffalo
Yadira Morissette DVM, Fearow, marten
Adolph Mayer, Ekans, eel
Fred Cummerata, Oddish, cricket
Thu Buckridge, Wartortle, goose
Mr. Lacy Walter, Exeggutor, gnu
Sherwood Ratke, Golem, herring
Israel Collier, Venusaur, muskrat
Harvey Cruickshank DVM, Dratini, trout
Buddy Flatley, Grimer, scorpion
Gabriel Zemlak, Drowzee, mule
Quincy Strosin, Articuno, sheep
Charolette Orn, Dugtrio, rabbit
Kristi Ebert, Nidorina, hippopotamus
Leon Lesch, Flareon, crocodile
Kurt Wiza, Chansey, otter
Christeen Olson, Rapidash, spider
Rupert Schultz, Eevee, crab
Hyacinth Metz, Seel, spider
Stephen Goodwin, Weepinbell, toad
