Michel Bashirian, Machoke, sardine
Gaston Davis II, Weezing, panda
Kelly Simonis, Kabutops, whale
Margret Gleason, Hitmonchan, hornet
Jaime Jacobi DVM, Caterpie, wasp
Lynna Heidenreich, Venusaur, cicada
Elden Heidenreich, Dragonair, ox
Earle Berge, Starmie, elephant
Concetta Jacobson, Onix, rabbit
Rudolf Prosacco, Primeape, weasel
Oma Wolf, Rhyhorn, fox
Mauro Pagac II, Weezing, elk
Christy Kuphal, Mankey, horse
Ramon Reichel I, Fearow, rabbit
Codi Brown I, Exeggcute, mouse
Cristin Kiehn, Chansey, gorilla
Dr. Arla Will, Magnemite, koala
Mr. Paula Olson, Kangaskhan, eel
Kristine Jaskolski, Geodude, baboon
Dwight Quigley, Pidgey, seal
Miss Byron Kreiger, Metapod, dolphin
Dr. Calvin Boyer, Cubone, cod
Sharmaine Okuneva, Seaking, cockroach
Shelton Cole, Lapras, lizard
Otto Bergstrom, Abra, deer
Mr. Odis Barton, Hypno, fly
Roger Boyle DVM, Beedrill, ox
Nancie Fisher Jr., Koffing, dolphin
Racquel Beer, Raichu, toad
Boyd Sawayn, Magmar, dog
Laci Robel, Charmeleon, beetle
Brandon Fisher, Alakazam, bee
Mr. Ross Jacobson, Nidorina, bat
Ernesto Heidenreich, Staryu, cricket
Bertram Mertz, Metapod, wasp
Jon Steuber, Vulpix, llama
Mikel Hane, Onix, snail
Lydia Purdy II, Cloyster, hyena
Dino Maggio IV, Slowbro, dinosaur
Mrs. Kacy Flatley, Omastar, guinea pig
Dirk Walter, Wigglytuff, zebra
Kisha Conn, Ninetales, worm
Youlanda Prosacco, Gengar, gerbil
Kimberley Rice, Slowbro, seal
Rudolf Hauck, Nidoking, reindeer
Colin Labadie, Articuno, lion
Lilly Gleichner I, Magmar, toad
Charley Hahn PhD, Blastoise, muskrat
Dr. Roxanna Rosenbaum, Primeape, hare
Ms. Sheryl Dach, Kabutops, ant
