Despina Maggio, Nidoking, rabbit
Taneka Stoltenberg, Exeggcute, woodchuck
Virgilio Jaskolski, Paras, mouse
Ms. Aubrey Hammes, Kabuto, dog
Ms. Lita Bartell, Kakuna, butterfly
Marcene Hamill V, Articuno, crow
Lon Tillman, Seaking, rhinoceros
Sherryl Olson, Pikachu, caribou
Carleen Funk III, Nidoran, lion
Dr. Ginny Thiel, Caterpie, duck
Setsuko Shanahan I, Chansey, ant
Miss Louanne Bergnaum, Snorlax, prairie dog
Scott Hilpert, Venonat, fly
Clementina Senger DDS, Dugtrio, monkey
Stefany Wisozk, Zapdos, grasshopper
Marilyn Roob MD, Graveler, cat
Susanna Pacocha, Ninetales, dinosaur
Wilbert Block, Geodude, bat
Lesley Carter, Shellder, herring
Patsy Hamill MD, Bulbasaur, monkey
Brain Bergstrom, Jynx, gnat
Leann Pagac, Butterfree, dog
Virgilio Johnson, Arcanine, seal
Kimber Veum PhD, Seadra, jellyfish
Marco Thompson, Arbok, grasshopper
Efrain Gorczany, Kadabra, hamster
Darwin Romaguera, Tentacool, baboon
Miss Rodrigo Purdy, Ninetales, giraffe
Fletcher Erdman, Snorlax, wombat
Emmaline Gusikowski MD, Beedrill, guinea pig
Isela Schuppe, Aerodactyl, monkey
Ms. Federico Kozey, Weepinbell, beetle
Enoch Abbott, Magnemite, ant
Jules Kessler, Clefable, impala
Seema Mann, Kabutops, cattle
Dr. Dewayne Kessler, Aerodactyl, alligator
Drema Kulas, Raticate, rhinoceros
Tommy Gibson, Wigglytuff, fish
Amos Watsica, Arcanine, gnu
Ms. Eliz Daugherty, Graveler, woodchuck
Amina Leffler Sr., Tangela, cockroach
Dr. Andrew Schultz, Zubat, cricket
Brigid Leuschke, Muk, impala
Mrs. Carlotta Bosco, Golduck, hedgehog
Deandre Deckow, Jynx, guinea pig
Miss Travis Senger, Poliwhirl, rhinoceros
Elton Schiller MD, Zapdos, mink
Marilee Barrows, Drowzee, deer
Mrs. Hugo Bergnaum, Omastar, platypus
Marilynn Jakubowski, Psyduck, clam
