Casey Wolf, Sandslash, walrus
Whitney Stanton, Rapidash, cricket
Francis Padberg, Pinsir, skunk
Noble Fadel, Oddish, water buffalo
Carmine Schmeler, Gloom, minnow
Mrs. Rebekah Gottlieb, Fearow, zebra
Yelena Hermann, Blastoise, prairie dog
Stevie Bernhard III, Cloyster, horse
Beryl Orn, Dragonair, baboon
Daria Okuneva, Venonat, gerbil
Brian Howe, Wartortle, ant
Michale Torphy, Pinsir, mink
Jay Bartell, Cubone, ox
Brett Hermiston, Pidgeot, frog
Ivan Crooks DVM, Sandshrew, zebra
Mrs. Beverly Swaniawski, Weezing, sea lion
Mr. Darron Weber, Jolteon, ape
Man Abbott Jr., Fearow, locust
Miss Rufus Koss, Rattata, tiger
Willow Quigley DDS, Mankey, otter
Bobbie Schowalter, Ponyta, wasp
Noe Bednar, Venomoth, wombat
Jamison Thompson Sr., Caterpie, gnu
Doloris Fadel I, Mew, hound
Darell Powlowski, Hypno, ape
Scottie Toy, Flareon, mosquito
Lavinia Bednar, Alakazam, skunk
Miss Nickolas Gleason, Koffing, yak
Ester MacGyver DDS, Ninetales, swan
Lilia Leannon I, Fearow, goat
Sherill Crona, Gastly, coyote
Mr. Hunter Ullrich, Farfetch'd, platypus
Lu Carter II, Staryu, raven
Margret Wisozk II, Magneton, elk
Cleotilde Hartmann DVM, Tentacruel, minnow
Jonelle Beahan, Farfetch'd, gnu
Al Gutmann, Kabutops, koala
Dr. Emil Heller, Moltres, ferret
Brett Ernser, Venomoth, hare
John Armstrong, Bellsprout, fly
Mrs. Brant Hammes, Magmar, snake
Daisey Bernhard, Doduo, grasshopper
Jenny Wuckert, Ivysaur, badger
Clinton Quigley, Pikachu, goose
Mrs. Branda Hahn, Onix, skunk
Sage Kutch, Nidorina, mouse
Ella Berge, Krabby, cricket
Miss Raleigh Greenfelder, Snorlax, tortoise
Tina Hickle, Growlithe, weasel
Mr. Vannesa Tillman, Vulpix, cricket
