Basil Daniel, Abra, llama
Mrs. Derick Osinski, Exeggutor, hare
Kasie Schuppe, Doduo, bear
Ingrid Gottlieb IV, Slowbro, lion
Major Gusikowski, Cubone, snail
Stacia Gaylord, Slowpoke, cricket
Selene Klein, Kingler, crab
Valorie Reilly, Alakazam, mink
Chau Cremin, Ivysaur, fox
Roger Jenkins Jr., Weezing, water buffalo
Kelle Becker, Victreebel, dinosaur
Calvin Stroman, Hitmonlee, elk
Santos Bechtelar, Psyduck, koala
Lesli Larkin PhD, Moltres, otter
Carlo Jast, Magikarp, dinosaur
Eddy Russel, Weezing, cat
Heide Nitzsche, Onix, hedgehog
Leeanne Yost, Zapdos, goose
Dr. Ivonne Emard, Mew, minnow
Jeanett Muller, Cubone, sardine
Lakia Ortiz, Weepinbell, cricket
Mr. Gabriel O'Reilly, Squirtle, buffalo
Randy Kulas Jr., Fearow, sea lion
Jordon Renner DDS, Pidgeotto, clam
Matthew Koss, Nidoking, fly
Rubin Prosacco, Seaking, cheetah
Alfreda Ebert, Moltres, water buffalo
Pablo Jaskolski, Butterfree, louse
Thalia Bartell I, Primeape, chinchilla
Reatha Walsh, Scyther, louse
Ms. Foster Denesik, Golduck, wildebeest
Mrs. Calvin Stamm, Seadra, fly
Georgia Nitzsche, Snorlax, sheep
Grover Hickle, Haunter, monkey
Mrs. Brandi Turner, Fearow, hornet
Cicely Moen, Kabutops, alligator
Geri Ondricka, Gengar, fly
Mr. Arianne Hessel, Krabby, termite
Wilber Corwin, Hypno, monkey
Katheleen Kunde, Vulpix, beaver
Kerstin Bailey, Jolteon, crab
Loyd Towne, Porygon, alpaca
Loreen Bayer, Vileplume, panda
Brice Stamm, Golem, mole
Luise Kessler, Magneton, sardine
Shelby Graham Jr., Weezing, beetle
Ofelia Bashirian, Seel, seal
Ivan Runolfsdottir, Oddish, baboon
Elois Grant, Horsea, snail
Jess Lockman, Gastly, cat
