Malik Roob, Mr. Mime, snake
Eartha Klocko IV, Gengar, llama
Sheldon Cassin, Raticate, jellyfish
Glen Ratke V, Dratini, marten
Mickie Bartell Jr., Gastly, eel
Theo Swaniawski II, Cloyster, hare
Mrs. Paul Murphy, Rhyhorn, spider
Scot Marquardt, Ditto, raccoon
Mac Konopelski, Gengar, mallard
Mrs. Randal Effertz, Dragonite, locust
Elliot Wisozk, Pidgey, frog
Aliza Auer II, Metapod, wildebeest
Irwin Swaniawski, Venusaur, raccoon
Vinita Buckridge, Shellder, termite
Pat Bernhard, Chansey, donkey
Paul Berge, Koffing, hound
Dr. Jordan Abbott, Poliwag, fish
Shanna Farrell IV, Raticate, whale
Mrs. Cruz Reinger, Blastoise, dog
Venice Ziemann, Ninetales, caribou
Mrs. Patrina Ankunding, Dewgong, hyena
Ervin Heller, Pidgeotto, kangaroo
Edwin Wolff, Rapidash, caribou
Virgilio Wehner, Seadra, buffalo
Tom Sporer, Gloom, wasp
Clifford Pacocha, Venusaur, dolphin
Mrs. Virgil Tillman, Diglett, gnu
Bernardo Kautzer, Vulpix, porcupine
Rigoberto Orn, Alakazam, jackal
Samira Lubowitz, Pidgey, sardine
Lucien Schiller, Wigglytuff, sea lion
Percy Monahan, Vileplume, zebra
Jolene Anderson V, Magnemite, ape
Mohammad Balistreri, Rattata, koala
Jorge Lehner, Slowbro, zebra
Ms. Winford Kshlerin, Goldeen, armadillo
Hilario Rohan DVM, Farfetch'd, squirrel
Eugenie Littel, Arcanine, elephant
Mrs. Danilo Green, Mewtwo, squirrel
Jessie Waters, Metapod, antelope
Mr. Sun Pagac, Seel, cheetah
Ricardo Yundt, Magneton, gorilla
Mr. Beryl Feeney, Pidgeot, locust
Mana Schneider II, Voltorb, chimpanzee
Dr. Randall Roberts, Rhyhorn, dinosaur
Miss Dewayne Hodkiewicz, Raichu, dolphin
Miss Marielle Swaniawski, Paras, chinchilla
Dennise Schiller, Victreebel, herring
Allan Lebsack, Machamp, wallaby
Mr. Teddy Jones, Nidoqueen, dog
