Courtney Stehr III, Mr. Mime, porpoise
Rebecca Jacobi, Persian, goat
Alan Schmeler, Voltorb, skunk
Stewart Wiegand, Clefable, swan
Shirely Fadel, Articuno, buffalo
Kristy Kassulke V, Moltres, butterfly
Gonzalo Cormier, Kangaskhan, ferret
Isobel Kuhic DVM, Mew, chinchilla
Pei Schaden, Caterpie, crocodile
Tyrell Champlin, Weepinbell, cattle
Mr. Aracely Will, Moltres, porcupine
Dr. Elisha Medhurst, Wigglytuff, sea lion
Eryn Prohaska, Metapod, woodchuck
Ryan Stiedemann, Machop, gnat
Pat Kessler, Pidgeot, snake
Shannon Bergstrom, Dugtrio, crow
Wilma Kerluke, Dugtrio, goldfish
Mr. Malik Mohr, Omanyte, panda
Felisha Hermiston, Grimer, antelope
Salvatore Stracke, Wigglytuff, ox
Shemika Ankunding, Arbok, worm
Forest Crist, Jynx, ape
Mr. Jenise Kovacek, Muk, leopard
Kellye Koepp, Charmeleon, koala
Takako MacGyver, Ponyta, snail
Danial Bogisich, Exeggcute, walrus
China Dach, Sandshrew, skunk
Miss Lucius Hammes, Electabuzz, mole
Chung Waelchi, Weedle, sea lion
Miss Clint Schneider, Charizard, jackal
Miss Nelly Greenfelder, Hitmonchan, prairie dog
Galen Kihn PhD, Poliwag, hare
Makeda Nolan, Vaporeon, rabbit
Mose Nikolaus IV, Oddish, louse
Mrs. Lakisha Rau, Kingler, termite
Barrett Collins, Nidoqueen, elephant
Kanisha Spencer, Machop, seal
Bennie Hayes, Machop, hare
Dion Witting, Mankey, panda
Miss Simon Ward, Poliwhirl, fly
Harmony Macejkovic II, Arbok, jackal
Ellis Casper, Meowth, serval
Kathline Borer, Wigglytuff, donkey
Alvin Metz, Blastoise, crow
Chin Funk III, Electrode, termite
Victor Senger, Kabutops, hare
Stella Gusikowski, Hitmonlee, salmon
Lance Schinner, Gloom, skunk
Gisela Lebsack, Jigglypuff, sea lion
Star Hammes III, Omanyte, leopard
