Angeline Turner III, Pinsir, mallard
Debora Mraz IV, Oddish, ape
Mrs. Claudio Simonis, Porygon, eel
Ronald Green, Doduo, whale
Harold Luettgen, Arcanine, beaver
Mr. Leo Mosciski, Oddish, mallard
Cleta Pacocha, Wigglytuff, chinchilla
Alfredo Kub, Nidorino, crow
Mr. Maybelle Doyle, Alakazam, hound
Stanton Windler, Persian, mouse
Corazon Pacocha, Marowak, whale
Rory Daugherty, Porygon, giraffe
Evelyn Gleason, Metapod, yellowjacket
Glendora Leuschke, Nidoking, hornet
Sherrell Halvorson, Flareon, coyote
Dr. Ronna Schroeder, Grimer, beetle
Emery Mills, Wigglytuff, oyster
Paulina Ruecker Sr., Krabby, wasp
Johnnie Schinner, Dugtrio, kangaroo
Daisy Stehr, Ivysaur, butterfly
Kayce Mills, Mewtwo, grasshopper
Ivan Lockman, Dodrio, water buffalo
Desmond McCullough, Exeggutor, minnow
Gwen Rosenbaum MD, Golbat, cricket
Miss Shalanda Wisozk, Victreebel, sea lion
Leonel Yundt, Charmeleon, oyster
April Dickens, Rapidash, bee
Lynwood Bartell I, Tentacruel, hedgehog
Vita Haley, Vaporeon, walrus
Raye McKenzie, Sandshrew, bee
Marina Mertz, Seadra, minnow
Hugo Daugherty, Victreebel, pug
Van Schuster, Dragonite, hound
Dr. Trinidad Dooley, Pidgey, cricket
Cierra O'Keefe, Wigglytuff, crocodile
Shona Greenfelder, Dragonite, squirrel
Latoya Dooley, Hitmonlee, guinea pig
Ms. Wilber Bayer, Tangela, raven
Dr. Aaron Keebler, Pidgey, jellyfish
Olga Haag, Electrode, spider
Sade Stehr, Marowak, rabbit
Mrs. Bernie West, Charizard, minnow
Freddy Dicki, Articuno, bat
Mohammed Johnston, Zapdos, swan
Lorie Becker, Weezing, trout
Johnson Turner, Golduck, squirrel
Hermila Quigley Jr., Venusaur, clam
Jenna Rippin, Venusaur, alpaca
Ms. Fransisca Jacobs, Oddish, frog
Denver Krajcik, Magnemite, elephant
