Benita Parker, Weepinbell, goat
Sammie Ziemann, Flareon, wolf
Sue Welch PhD, Poliwhirl, bat
Meridith Stamm, Tauros, hyena
Debby Stark III, Venonat, coyote
Heide Gleason, Nidorino, deer
Darin Will, Aerodactyl, mosquito
Mrs. Richelle Renner, Hitmonchan, horse
Julia Homenick, Magikarp, oyster
Ernie Gulgowski, Doduo, armadillo
Lewis Ebert, Bellsprout, seal
Ellsworth Prosacco, Golem, cricket
Shaquita Walter, Kakuna, wildebeest
Syreeta Dietrich III, Magnemite, reindeer
Wayne Hessel, Nidoqueen, deer
Ms. Gaye Morissette, Horsea, locust
Jenee Bednar, Clefable, wombat
Letha Davis, Blastoise, eagle
Dr. Ozzie Feil, Diglett, mallard
Todd Tremblay, Ivysaur, weasel
Alleen Padberg PhD, Doduo, worm
Granville Russel, Kabutops, rabbit
Mark Haley, Doduo, koala
Delisa Williamson, Scyther, wolf
Veronika Orn, Poliwhirl, woodchuck
Mr. Diann Gerlach, Charmander, gnu
Ms. Keeley Bradtke, Geodude, sheep
Gene Langosh, Butterfree, worm
Risa Ziemann, Golem, monkey
Morris Flatley, Jynx, raven
Marlene Feil, Wigglytuff, spider
Clementina Thiel, Aerodactyl, bat
Vito Dach, Ponyta, wolf
Suzann Pouros, Squirtle, ox
Marget West, Mew, skunk
Agatha Metz, Primeape, caribou
Kati Fadel IV, Dragonite, panda
Brandy Schulist, Poliwrath, snake
Nila Gorczany, Weedle, deer
Elias Blanda, Kangaskhan, deer
Mr. Dominic Halvorson, Vulpix, cattle
Corinna Welch, Hitmonlee, fly
Hien Dicki, Lickitung, wolf
Magaret Koelpin, Koffing, swan
Tommie Okuneva, Farfetch'd, mouse
Zackary Schaden, Pidgeotto, turtle 
Shizuko Schaden, Koffing, woodchuck
Nobuko Veum, Kabutops, sea lion
Kyra O'Connell, Kakuna, impala
Hallie Hilpert, Wigglytuff, grasshopper
