Lesley Batz DVM, Muk, whale
Alicia Keeling, Haunter, alligator
Ms. Lupe Gutmann, Haunter, giraffe
Veronika Kirlin, Hitmonlee, woodchuck
Hilario Gleason, Parasect, worm
Odell Lubowitz, Beedrill, cheetah
Tawny Kihn, Rhyhorn, prairie dog
Dalton Dooley DDS, Rhyhorn, squirrel
Stacy Stracke, Aerodactyl, zebra
Randell Ondricka, Pikachu, worm
Susie Shields, Goldeen, turtle 
Mica Hickle, Dratini, chimpanzee
Deneen Sauer, Nidoqueen, tiger
Connie Abbott Jr., Oddish, chimpanzee
Kendrick Klein, Venonat, trout
Bradly Hickle, Vulpix, serval
Maye Padberg, Hitmonchan, mammoth
Timmy Moen, Farfetch'd, herring
Mrs. Olevia Kihn, Vulpix, manatee
Madonna Cronin Jr., Jigglypuff, wallaby
Carlota Moen, Hitmonlee, frog
Odis Schmeler, Poliwhirl, mule
Mrs. Latesha Haley, Ninetales, herring
Marin Kris, Exeggutor, armadillo
Eddie Nienow, Slowbro, yak
Dr. Pablo Halvorson, Snorlax, beaver
Pearle Corwin, Flareon, reindeer
Imogene Zulauf, Cloyster, camel
Melvin Crist, Hitmonchan, marten
Shelton Gorczany, Gengar, fox
Sharyn Cassin, Porygon, zebra
Sheridan Schulist, Weezing, sheep
Dr. Dustin Nolan, Drowzee, deer
Ladawn Waelchi, Mankey, raccoon
Daina Bruen, Weezing, sheep
Hugh Tromp Jr., Alakazam, reindeer
Ms. Antonina Kutch, Goldeen, chinchilla
Johana Witting, Abra, minnow
Jannet Gutkowski, Golduck, swan
Mitchel Rempel, Nidoking, bat
Titus Fahey, Dragonair, minnow
Maryrose Leffler Sr., Gengar, chinchilla
Wilbert Kuhlman, Rhydon, mole
Leslie Zulauf V, Mankey, manatee
Miss Thao Tremblay, Magmar, sheep
Eugenie Feeney Jr., Vulpix, salmon
Mr. Betsy Davis, Spearow, wolf
Dr. Marquetta Hartmann, Ninetales, goat
Ebony Pfeffer, Tangela, cat
Gerard Bogan, Raichu, pig
