Mrs. Felton Haag, Zapdos, wolf
Lucretia Sanford, Oddish, cockroach
Caryn Strosin, Jolteon, clam
Letitia Wilkinson, Nidoran, lizard
Juliann Stoltenberg, Mr. Mime, hamster
Franklin Willms, Poliwhirl, wildebeest
Hong Swaniawski, Raichu, chimpanzee
Takisha Wiza, Wartortle, mouse
Colton Kling, Charmeleon, wombat
Shirley Fritsch, Aerodactyl, mosquito
Aliza Lang, Clefairy, cod
Rickie Lindgren, Pidgeot, trout
Miss Elvie Trantow, Ekans, grasshopper
Josh Stehr IV, Krabby, hedgehog
Shenita Christiansen, Moltres, crab
Kristofer Schmeler, Poliwag, wildebeest
Dirk Weber, Hitmonlee, spider
Lanny D'Amore Sr., Rapidash, sardine
Tiffaney Blanda, Gloom, giraffe
Darrin Lehner, Psyduck, rhinoceros
Damian Cartwright, Hitmonlee, elephant
Jared Kirlin, Venonat, ferret
Miss Delila Doyle, Beedrill, mink
Ginny Dare, Geodude, crab
Dorotha McLaughlin, Aerodactyl, leopard
Ione Balistreri, Omastar, raccoon
Marilyn Will, Rhyhorn, duck
Maryland Cummings, Charmeleon, sheep
Eladia Bosco, Ponyta, gerbil
Regina Streich, Spearow, scorpion
Chung Hettinger, Tentacool, skunk
Lorrine Klein, Slowbro, scorpion
Joselyn Nader, Snorlax, fish
Collin Mayer, Venomoth, ferret
Dr. Dennis Green, Rattata, jackal
Filiberto Rutherford, Tentacruel, alligator
Mrs. Deneen Fritsch, Doduo, crab
Elisabeth Herzog, Bellsprout, dolphin
Rita Price, Rattata, mole
Noah Runolfsson, Rhyhorn, skunk
Emanuel Shanahan, Cloyster, sardine
Jacinta Raynor, Beedrill, crab
Jude Mann, Ekans, donkey
Mrs. Hyman Schinner, Voltorb, water buffalo
Madge O'Keefe, Graveler, porcupine
Mrs. Katlyn Waelchi, Tangela, rhinoceros
Mrs. Kristofer Sporer, Weezing, fly
Kelly Collins MD, Goldeen, louse
Cordell Schneider, Hitmonlee, manatee
Osvaldo Upton, Vulpix, platypus
