Jordon Gislason, Rhyhorn, goose
Gertha Parker, Krabby, prairie dog
Royce Stracke, Geodude, koala
Nannie Ziemann, Gastly, eagle
Donnell Mosciski, Rattata, raven
Michel Hermann DVM, Gastly, worm
Maurita Nicolas, Rapidash, eagle
Candis Erdman MD, Pinsir, zebra
Leonia Satterfield, Wartortle, toad
Mrs. Ela Sawayn, Rattata, butterfly
Gayla Swaniawski, Meowth, ape
Manuel Mayert, Graveler, gorilla
Miss Bobette Weber, Voltorb, muskrat
Mr. Gregoria Dooley, Exeggcute, ape
Maudie Torphy, Rattata, llama
Tawana Okuneva, Vaporeon, scorpion
Estefana Hane, Venonat, goose
Dr. Bobbye Vandervort, Kabutops, hippopotamus
Augustus Stehr, Wigglytuff, sardine
Antonia Hagenes, Kakuna, jellyfish
Jermaine Turner, Doduo, turtle 
Moses Mraz II, Omastar, ape
Hyacinth Mann V, Pinsir, snail
Jeromy Luettgen, Sandshrew, mouse
Lowell Smitham, Dratini, crow
Miss Chuck Walter, Poliwhirl, yak
Brett Stroman, Weedle, rabbit
Moses Willms, Raichu, panda
Margot Tremblay III, Scyther, clam
Kenda Cruickshank, Ditto, macaw
Xenia Frami, Shellder, crow
Dr. Arturo Bernhard, Muk, muskrat
Dr. Latanya Greenholt, Charmander, scorpion
Clara McGlynn, Venomoth, herring
Miss Clemente Ebert, Slowpoke, grasshopper
Selene Graham Sr., Pidgeotto, mouse
Mrs. Beau Will, Onix, otter
Margarite Ward, Zapdos, mole
Shane Goodwin IV, Metapod, antelope
Allan Towne, Electrode, chimpanzee
Cira Mante PhD, Golbat, sea lion
Leon Streich, Hitmonlee, chinchilla
Branden Stracke PhD, Koffing, gnu
Salvatore Goldner, Poliwrath, raccoon
Tanya Jast, Rhyhorn, bear
Virgilio Herman, Golbat, muskrat
Katelynn Hand, Exeggcute, gnat
Orlando King, Fearow, beaver
Russel Schaden I, Nidoran, hare
Lila Von, Bellsprout, minnow
