Elinore Deckow, Articuno, ant
Faye McGlynn, Venonat, wasp
Rubi Hessel, Electabuzz, armadillo
Alfreda Schuster Jr., Grimer, ferret
Mrs. Chantal Torphy, Lapras, herring
Arnulfo Crona, Rhydon, llama
Samuel Jacobson, Nidoqueen, clam
Lyndon Macejkovic, Mr. Mime, muskrat
Harry Champlin, Nidorino, impala
Luella O'Keefe, Exeggcute, armadillo
Alisha Lubowitz, Farfetch'd, raccoon
Dee Gusikowski, Gastly, bear
Dan Hauck, Rhydon, bee
Darin Huels, Nidoran, cat
Kristle O'Kon, Spearow, gnu
Mrs. Omar Jakubowski, Zubat, hyena
Ms. Leigh Reichel, Raticate, cat
Dyan Hagenes, Seaking, alligator
Emory Jacobs, Slowbro, badger
Brett MacGyver, Ekans, ape
Ione Kozey DDS, Jolteon, platypus
Caleb Hilll, Fearow, sardine
Mrs. Mohammed Koepp, Horsea, butterfly
Melonie Mosciski, Psyduck, yak
Eugenio Hand, Flareon, coyote
Lu Jaskolski, Gastly, cat
Aurelio Murray, Raichu, rhinoceros
Lavern Wyman, Pidgey, skunk
Miss Beatrice McDermott, Tauros, hornet
Jacquie Trantow, Tauros, gerbil
Mrs. Horacio Cartwright, Abra, manatee
Hosea Luettgen I, Nidoking, ant
Orville Roberts, Vaporeon, frog
Dr. Nathan Schuster, Dratini, woodchuck
Cayla Hermiston, Tentacool, porpoise
Eldridge Swift III, Oddish, yellowjacket
Jeri Morar II, Hitmonlee, toad
Delmer Haag, Omastar, chimpanzee
Gregg Stamm, Flareon, fly
Carroll Cronin, Jigglypuff, marten
China King, Kangaskhan, bat
Nicolas Swaniawski, Haunter, gorilla
Cleopatra Gutmann, Charmander, cattle
Brent Johns, Farfetch'd, elephant
Wyatt Hammes, Alakazam, termite
Ernestine Bahringer, Tentacool, shark
Guillermo Maggio, Slowpoke, caribou
Gilbert Kunde, Moltres, leopard
Dr. Jewell Kling, Scyther, wombat
Tyron Okuneva, Fearow, dog
