Dr. Harry Corwin, Nidorina, chimpanzee
Marvin Murphy, Nidoran, camel
Miss Damien Balistreri, Hypno, louse
Wm Larson, Onix, gnat
Gwendolyn Haag II, Hitmonchan, beetle
Gaston Runolfsson, Dragonite, crocodile
Berry Kozey, Jigglypuff, trout
Dr. Gilma Mraz, Kabuto, rhinoceros
Emery McCullough, Cloyster, alligator
Ms. Leonel Considine, Squirtle, mosquito
Charlie Schaefer, Zapdos, dinosaur
Inell Kuhic, Tentacool, swan
Amado Beier, Pikachu, mouse
Camellia Hudson, Vulpix, walrus
Mrs. Janita Bashirian, Jynx, beaver
Catharine Koss, Bulbasaur, sheep
Mr. Isabell Wolff, Parasect, herring
Caroline Ward PhD, Beedrill, tortoise
Stevie Muller, Lickitung, cockroach
Colin Lang, Pinsir, muskrat
Dr. Tim Wiegand, Scyther, ape
Arlie Thiel, Slowbro, wolf
Mr. Denver Kunze, Weedle, caribou
Kip Boehm, Squirtle, rat
Joyce Nienow, Pikachu, hornet
Dr. Delinda Ernser, Fearow, leopard
Arnette Spencer, Diglett, water buffalo
Kimberly Lemke, Omanyte, rabbit
Miriam Altenwerth, Jynx, lizard
Dona Weimann, Snorlax, grasshopper
Miss Chi Robel, Magikarp, fish
Ms. Pierre Balistreri, Jolteon, jellyfish
Antione Homenick, Lickitung, minnow
Numbers Reinger Sr., Mankey, louse
Emory Carroll, Magmar, eel
Johnny Bogan, Vulpix, lizard
Magda Nitzsche, Lapras, bat
Percy Cartwright PhD, Tauros, elephant
Kyra Murazik, Chansey, koala
Shoshana Goodwin, Muk, hippopotamus
Esteban Mitchell, Dugtrio, hyena
Trenton Keebler, Electrode, serval
Gwenda Gerlach, Ivysaur, mink
Dale Lynch MD, Omanyte, cod
Dr. Aisha Lesch, Bulbasaur, mosquito
Parker Tremblay, Nidoran, wasp
Kisha Bergnaum, Tentacruel, minnow
Shanita Bauch, Magikarp, hornet
Lashandra Jakubowski, Caterpie, louse
Miss Wilford Dicki, Sandshrew, sheep
