Ms. Albertine Becker, Poliwrath, grasshopper
Clifton Grant, Gloom, snake
Miss Dominick Shields, Zapdos, cattle
Mr. Florine Hoeger, Doduo, muskrat
Florentina Wisozk IV, Nidoran, crocodile
Kip Purdy, Raichu, goat
Mr. Santos Dooley, Poliwrath, seal
Mrs. Lou Lakin, Cloyster, cricket
Augustine Bernier, Lickitung, armadillo
Michael Batz DDS, Geodude, yellowjacket
Arron Marquardt, Arcanine, armadillo
Piedad Ullrich, Charmander, guinea pig
Rupert Marquardt, Spearow, hamster
Mr. Winter Kunze, Golem, seal
Ms. Otha Fay, Cubone, water buffalo
Rubin Jacobi, Nidoran, donkey
Waldo Kuhlman, Ditto, sheep
Ms. Qiana Olson, Graveler, donkey
Josue Willms, Vaporeon, platypus
Miss Lonnie Erdman, Tauros, jackal
Lorena Swaniawski, Haunter, bat
Jared Parisian, Mankey, crow
Jeanne Prosacco, Alakazam, yak
Mr. Jim Gusikowski, Dratini, alligator
Cornelius Hane, Jynx, beetle
Carmen Blanda, Sandslash, swan
Miss Dwight Terry, Rhydon, reindeer
Dania Mitchell, Nidoking, zebra
Ms. Andres Roob, Dragonair, rabbit
Glory Miller, Paras, worm
Christena Johnston, Zapdos, deer
Mrs. Zandra Howell, Pidgeotto, snake
Marvin Schmidt, Arcanine, shark
Dr. Alica McKenzie, Doduo, seal
Jermaine Dickinson, Jynx, llama
Scot Jacobi III, Sandslash, wolf
Harlan Armstrong, Chansey, zebra
Howard Kunze PhD, Pidgey, yellowjacket
Kendrick Turner, Nidoran, muskrat
Peg Grimes, Krabby, deer
Ezequiel Stoltenberg, Rattata, bee
Veta Champlin, Seadra, koala
Lupe Morissette, Geodude, panda
Ms. Deshawn Fadel, Butterfree, spider
Gregg Hamill, Seel, hippopotamus
Ms. Maragaret Hickle, Venomoth, seal
Dia Auer, Electabuzz, armadillo
Max Brakus, Abra, cattle
Jefferey Prosacco, Hitmonchan, rat
Cleo Rempel, Hypno, cattle
