Miss Christene Rolfson, Magnemite, panda
Lavonna Bergstrom, Omastar, cicada
Justin Kozey, Nidoking, butterfly
Miss Abdul Sanford, Slowbro, reindeer
Jonathan Bradtke, Venonat, marten
Leopoldo Green, Slowbro, scorpion
Georgeann Harris, Hitmonlee, hyena
Ms. Enid Welch, Rattata, porpoise
Ollie Bayer V, Oddish, oyster
Alexandra Doyle, Abra, beaver
Ralph Glover, Vaporeon, eagle
Torrie Schoen, Rattata, coyote
Huey Kuhlman, Jynx, hornet
Karl O'Reilly, Kabutops, cattle
Shaunda Medhurst I, Golbat, pug
Mistie Hauck PhD, Goldeen, platypus
Miss Dewayne Bode, Gengar, fish
Song Reynolds, Tangela, rabbit
Naida Mraz, Horsea, skunk
Mrs. Kerry Ortiz, Venomoth, mosquito
Ms. Leontine Mayer, Mankey, herring
Ana Homenick, Kabutops, yellowjacket
Timmy Feeney, Jigglypuff, ape
Josefa Klocko, Venonat, raven
Dannie Abshire, Beedrill, kangaroo
Joel Rippin, Pidgey, fly
Marc Rath PhD, Spearow, hornet
Deandre Kutch, Dragonair, whale
Betty Langworth, Nidoqueen, eagle
Tarra Koss, Wartortle, reindeer
Jordan Dickinson, Wartortle, lizard
Curt Macejkovic, Gastly, rabbit
Titus Pollich, Diglett, hippopotamus
Gigi Gulgowski, Raticate, serval
Cyrstal Herman, Vulpix, gerbil
Elbert Koss, Voltorb, guinea pig
Dr. Signe Strosin, Golduck, raven
Ardith Keebler, Golem, buffalo
Shu Roberts, Charmeleon, swan
Dr. Dominque Kub, Jynx, squirrel
Jerold Schimmel, Raticate, antelope
Miss Mohammad Vandervort, Eevee, seal
Danille Goyette, Gyarados, panda
Lou Marquardt, Mr. Mime, eel
Lewis Christiansen, Mr. Mime, frog
Damon Kub IV, Bellsprout, ant
Florentino Schowalter, Porygon, hedgehog
Rolando Kulas, Golem, buffalo
Ms. Mauro Blanda, Tentacruel, sheep
Malcom Towne, Ninetales, sea lion
