Luann Brekke, Arcanine, gerbil
Carl Kirlin, Dragonite, gerbil
Reinaldo Kuhn, Dragonite, raven
Emilie Zulauf, Sandslash, snail
Mrs. Edris VonRueden, Ponyta, rabbit
Verdell Grady, Ekans, wolf
Dayle Schmitt DVM, Jigglypuff, cockroach
Ms. Lavona Collins, Slowbro, dolphin
Tommie Deckow, Victreebel, mosquito
Paige Koepp, Goldeen, whale
Albina Bogisich, Ponyta, mallard
Mrs. Marcelino Konopelski, Dugtrio, giraffe
Miss Emilio Graham, Butterfree, mink
Zachariah Wintheiser MD, Onix, giraffe
Michal Wintheiser, Drowzee, lizard
Minna O'Conner, Gengar, goldfish
Edythe Berge, Zubat, hare
Shoshana Barrows, Parasect, hippopotamus
Ms. Necole Pollich, Machop, cod
Emery MacGyver, Tentacool, coyote
Mr. Cleo D'Amore, Rhyhorn, panda
Damon Connelly Jr., Flareon, camel
Filiberto Nolan, Jynx, eagle
Holly Boehm, Haunter, wolf
Joaquina Ernser, Rhyhorn, chimpanzee
Mr. Lakia Kirlin, Magikarp, leopard
Myrle Vandervort, Eevee, raven
Robt Kuvalis, Ponyta, wallaby
Jovita Glover, Articuno, oyster
Alfredo Bahringer, Gastly, elk
Ulysses Collier I, Victreebel, worm
Wesley Haag, Seaking, hamster
Aleen MacGyver, Flareon, ant
Al Goodwin II, Electrode, walrus
Vicente Ruecker, Pidgey, rhinoceros
Mrs. Rory Bogisich, Marowak, marten
Jacqulyn Grady, Lickitung, cattle
Salvatore Swaniawski, Butterfree, oyster
Mr. Trudi Howe, Muk, walrus
Clarissa Bauch, Rapidash, cicada
Tessie Ritchie, Ivysaur, duck
Jamar Bahringer Jr., Chansey, seal
Dr. Mica Deckow, Dragonite, mouse
Mrs. Colton Doyle, Venonat, shark
Dakota Stamm, Machoke, eel
Emmanuel Marks, Horsea, antelope
Albertina Oberbrunner, Charmeleon, prairie dog
Gerardo Parker, Mewtwo, cricket
Dr. Malissa McDermott, Goldeen, guinea pig
Conchita Kerluke, Golduck, leopard
