Teressa Farrell, Marowak, snake
Jasper Upton, Ninetales, cockroach
Antione Stiedemann, Primeape, shark
Romeo Brown, Fearow, jackal
Mrs. Luigi Krajcik, Haunter, swan
Richard D'Amore, Ditto, deer
Rudy Ryan Jr., Charmeleon, shark
Winifred Bartoletti, Rattata, hare
Clinton Murray, Nidoran, walrus
Andrea Hodkiewicz PhD, Jigglypuff, cattle
Petrina Kris IV, Bellsprout, mink
Barabara Stark PhD, Tentacool, impala
Justina Mohr, Machop, caribou
Micheal Waters, Tangela, goldfish
Seema Fritsch, Mankey, sardine
Linn Macejkovic, Fearow, wildebeest
Kristofer Schamberger, Ekans, leopard
Christeen Mann, Cloyster, hyena
Tyesha Kling, Dratini, mosquito
Thaddeus Bins DDS, Magikarp, ferret
Alana Halvorson, Mewtwo, coyote
Lashonda Schmeler, Marowak, clam
Karla Murray, Omastar, gnu
Margo Maggio, Rattata, ferret
Genaro Reichel, Seadra, antelope
Rebekah Schmitt, Beedrill, leopard
Troy Haley V, Dugtrio, spider
Raphael Crist, Snorlax, baboon
Mario Collins, Porygon, ant
Kandis Runte, Paras, wolf
Bud Corkery, Doduo, dolphin
Zena Sawayn, Tentacruel, porcupine
Lon Corkery V, Sandshrew, duck
Anya Labadie, Magneton, yak
Rasheeda Veum DDS, Kakuna, fly
Jerrell Littel, Beedrill, walrus
Blair Boyle, Abra, cicada
Mr. Aisha Aufderhar, Parasect, serval
Brinda Hills, Dodrio, rabbit
Nelia Heller, Onix, cattle
Araceli Daniel, Mewtwo, gnat
Dallas Bechtelar, Blastoise, serval
Dulcie Langworth, Kakuna, gerbil
Boyd Zieme I, Nidorina, mole
Dr. Crysta Willms, Raticate, cockroach
Yuko Dibbert, Doduo, jackal
Jonah Lakin, Ivysaur, dog
Randolph Hessel, Starmie, macaw
Willie Shields, Charizard, leopard
Maximo Metz, Dragonair, cat
