Sherlyn Auer MD, Arcanine, hare
Guy Satterfield V, Omanyte, mammoth
Idell Baumbach, Venonat, baboon
Gary Bednar, Wartortle, impala
Nohemi Ebert, Machamp, elk
Susann Macejkovic, Seel, fox
Roderick Dooley, Clefable, dog
Thanh Cronin, Slowpoke, jellyfish
Otto Luettgen, Gengar, hound
Alfred Goodwin, Jolteon, tiger
Denita Lind Sr., Jynx, monkey
Herb Wilkinson, Primeape, elk
Oswaldo Mosciski, Horsea, minnow
Ramiro Rolfson, Moltres, whale
Mrs. Roberto Corkery, Arbok, mule
Assunta Flatley III, Scyther, ox
Thanh Franecki, Nidorino, cicada
Amalia Hahn, Machop, shark
Miss Steven Hilpert, Gengar, crow
Maxwell Predovic, Graveler, rabbit
Perla Ziemann, Kabutops, zebra
Guadalupe Champlin III, Mewtwo, walrus
Angelique Hoppe, Fearow, lion
Ms. Idalia Hansen, Dratini, gerbil
Shane Cruickshank PhD, Voltorb, mink
Mrs. Dominic Mertz, Rhyhorn, yak
Toi Auer, Charmander, dinosaur
Tanisha Hintz, Rattata, muskrat
Federico Kuhn III, Metapod, reindeer
Ena Leannon, Arbok, ant
Quinn Walter, Caterpie, goose
Denver Koch, Porygon, mallard
Cary Monahan, Exeggutor, ape
Ms. Shelby Marks, Vileplume, otter
Chuck Graham, Geodude, herring
Maudie Zieme, Vaporeon, badger
Shemika Schmeler, Gyarados, goldfish
Mrs. Rory Altenwerth, Ditto, spider
Mr. Mirtha Cassin, Arcanine, cricket
Ira Kutch, Dragonite, mouse
Boyd Koss, Venomoth, cattle
Oswaldo Willms, Nidorina, tortoise
Miss Isiah Waters, Mr. Mime, tiger
Roy Shanahan, Grimer, porpoise
Serina Abbott, Diglett, sea lion
Dr. Deandre Renner, Wigglytuff, tiger
Leslie Wiza, Kangaskhan, whale
Leonarda Schulist, Seel, koala
Miss Guadalupe Bauch, Krabby, elephant
Fanny Hodkiewicz, Slowpoke, panda
