Marcell Schmeler, Poliwag, ant
Claude Gaylord, Krabby, prairie dog
Tommy Harris, Abra, llama
Chun Jakubowski, Mr. Mime, cricket
Elsy Kshlerin, Seaking, sheep
Delmar Kemmer, Nidorino, bear
Miss Mandie Mueller, Tangela, impala
Emilia Wiza, Chansey, yak
Augustine Will II, Alakazam, giraffe
Gisele Ryan I, Mewtwo, ant
Lavern Russel, Magnemite, jackal
Dr. Winston Gutmann, Weezing, mule
Coral Murray, Psyduck, deer
Karen Buckridge, Rhydon, koala
Clement Beer, Alakazam, sardine
Soledad Mills, Gastly, spider
Leanna Windler, Venonat, cheetah
Lindy Fisher, Golem, wasp
Seymour Osinski II, Machoke, gorilla
Elza Koelpin, Diglett, fish
Dr. Miriam Olson, Seel, hamster
Burma Cronin DVM, Clefable, shark
Annika Connelly, Mewtwo, rabbit
Morgan Auer, Hitmonlee, camel
Fumiko Murray, Beedrill, goose
Thurman Fadel III, Abra, porcupine
Geoffrey Monahan, Staryu, badger
Kristy Haag, Goldeen, alpaca
Gilbert Hodkiewicz, Haunter, rhinoceros
Trinidad Corkery, Geodude, whale
Irish VonRueden, Dragonair, platypus
Dr. Camila Rogahn, Zapdos, scorpion
Lashaun Schiller, Abra, armadillo
Kemberly Ullrich, Rhydon, reindeer
Joanna Johnston PhD, Tauros, shark
Christy Runolfsdottir, Poliwag, zebra
Luther Bartoletti, Ponyta, koala
Marty Robel IV, Ponyta, cockroach
Dillon Stamm PhD, Geodude, yak
Miss Kassandra Fisher, Lapras, gnat
Blanche VonRueden, Venusaur, armadillo
Portia Volkman, Hypno, fly
Joanie Rippin, Graveler, goose
Miss Molly Rodriguez, Machamp, hare
Mrs. Myrle Boyer, Marowak, pig
Kraig Reinger, Venomoth, grasshopper
Theodore Hahn, Ekans, fox
Judi Effertz, Ponyta, dinosaur
Hugh Predovic DDS, Horsea, turtle 
Rocio Mills, Kingler, llama
