Iris Bartell I, Kabuto, hyena
Dr. Vincenza Cormier, Articuno, chimpanzee
Luis Macejkovic, Poliwhirl, minnow
Mrs. Fabian Mayer, Blastoise, cricket
Murray Boehm, Golduck, frog
Josphine Graham DVM, Omanyte, herring
Sanford Turner, Spearow, woodchuck
Nigel Lynch II, Seel, locust
Ms. Karisa Quitzon, Dragonair, worm
Harley Olson, Slowbro, panda
Julianna Krajcik III, Arbok, shark
Lashaunda Harris, Seaking, skunk
Nestor Bartell, Slowpoke, termite
Ms. Benedict Huels, Scyther, snake
Esperanza Kulas, Seaking, cicada
Marivel Smitham, Wartortle, camel
Elda Nolan, Eevee, jackal
Emanuel Prosacco, Flareon, mammoth
Joe Hyatt, Butterfree, eagle
Bernadine Ward, Weedle, bat
Jules Herman, Abra, dog
Emanuel Romaguera, Raichu, koala
Shavonda Streich, Omastar, elk
Jorge Runolfsson, Mewtwo, armadillo
Hildegard Lesch DDS, Golbat, lizard
Leroy Koepp, Victreebel, kangaroo
Landon Dicki, Raticate, elk
Yolanda Gerhold, Omanyte, oyster
Marya Wilkinson MD, Kingler, weasel
Kandi Satterfield, Muk, dolphin
Rheba Murphy, Ekans, elephant
John Grimes, Eevee, termite
Cody Dickens, Kakuna, platypus
Boyd Strosin, Machamp, giraffe
Duane McKenzie Sr., Horsea, wombat
Dr. Aracelis Greenholt, Beedrill, donkey
Jame McClure, Farfetch'd, hound
Reginald Stiedemann, Graveler, tortoise
Dannie Mayer II, Exeggutor, hound
Lupe Fadel, Metapod, gerbil
Jacqulyn Spencer, Farfetch'd, water buffalo
Valeri Leuschke, Golduck, porcupine
Miss Melita Witting, Onix, worm
Charlotte Kuhic, Dewgong, shark
Nickolas Bernier, Clefairy, shark
Miss Adalberto Will, Poliwrath, rat
Andre Watsica, Clefable, leopard
Eloy Graham, Shellder, bear
Nila Fisher, Poliwrath, snail
Hung Hand, Tentacool, koala
