Julio Watsica, Venomoth, reindeer
Mrs. Roma Morissette, Doduo, monkey
Darius Hackett, Voltorb, prairie dog
Whitney Douglas V, Krabby, whale
Enriqueta Marvin, Kangaskhan, oyster
Mitchell Witting, Golbat, eagle
Hermine Mueller, Jynx, rhinoceros
Aileen Stark, Bulbasaur, moose
Reginald Lynch, Nidoran, porpoise
Corrie Ortiz, Ninetales, fly
Kevin Thiel, Dragonair, mammoth
Dalila Thompson II, Squirtle, eagle
Burton Thiel, Exeggcute, goldfish
Anita Towne, Scyther, ape
Ryan Quitzon, Starmie, elephant
Ms. Justin Jacobi, Spearow, yak
Wallace Johnson, Seaking, eagle
Palmer Ward, Horsea, louse
Jose Fahey, Oddish, mosquito
Mathilda Mann Sr., Omanyte, raven
Teresia Schoen, Ekans, goose
Soon Beier, Butterfree, manatee
Annemarie Zemlak III, Parasect, whale
Regenia Pfeffer, Articuno, kangaroo
Wm Stokes, Ponyta, hare
Fausto Kuhn, Articuno, camel
Herbert Powlowski, Fearow, bear
Mr. Aubrey O'Connell, Venusaur, macaw
Stevie Corwin, Pidgeot, gnat
Alisha Heaney, Bellsprout, raven
Leonard Bosco, Gloom, zebra
Young O'Conner, Muk, caribou
Derick Effertz IV, Pidgey, tiger
Diana Beer, Bellsprout, goose
Leonard Kulas, Pidgeotto, hare
Marilynn Hettinger, Arbok, platypus
Carri Runolfsson, Goldeen, cod
Dorotha Gibson II, Grimer, chimpanzee
Miss Rosendo Rogahn, Nidorino, chinchilla
Mitch Smith V, Machop, deer
Miss Joseph Goodwin, Poliwag, weasel
Nelly Rutherford, Vileplume, mule
Grant Kuhn, Abra, crow
Deann Huel, Kangaskhan, elk
Irma Bogan, Tentacool, cattle
Lawrence Conroy, Arbok, hare
Mike Corkery, Spearow, raven
Talia Lowe, Charmeleon, bear
Golden Conroy, Jynx, beaver
Armand White, Bulbasaur, horse
