Cyrus Quitzon, Ivysaur, buffalo
Alonso Kub, Geodude, hamster
Miss Nicky Dooley, Krabby, rabbit
Gavin O'Hara, Golduck, walrus
Cynthia Bartell I, Ditto, antelope
Tonda Upton, Nidorina, cockroach
Asha Baumbach Sr., Muk, wombat
Mrs. Hal Will, Raticate, butterfly
Gayle Reichel DVM, Dragonair, shark
Romaine Franecki, Poliwrath, walrus
Ted Welch, Golduck, monkey
Forest Bayer, Electabuzz, wildebeest
Dudley Kiehn, Victreebel, shark
Mr. Maynard Pouros, Zubat, fish
Rafael Crooks, Arbok, sea lion
Belen Thiel, Nidorino, elephant
Ms. Cory Schulist, Ekans, guinea pig
Lavelle Bruen, Mr. Mime, elephant
Miss Carmon Haag, Paras, hare
Ms. Ashlie Connelly, Ponyta, elephant
Dr. Mozelle Dicki, Magnemite, camel
Magnolia O'Hara, Kangaskhan, impala
Reid Fadel, Tauros, donkey
Fabian Schowalter, Squirtle, camel
Buddy Nolan, Geodude, kangaroo
Paulette Heller, Vileplume, muskrat
Randall Lindgren, Seaking, goat
Ela Mueller DDS, Growlithe, lion
Dr. Jody Hoeger, Shellder, hippopotamus
Sun Hauck, Cubone, mosquito
Nola Deckow, Kangaskhan, oyster
Noel Green, Porygon, tiger
Brant Marks, Charizard, minnow
Rita Wisoky, Voltorb, sardine
Leonard Howe, Weezing, koala
Janean Pollich, Poliwhirl, snail
Fernando Yost, Chansey, coyote
Sol Feeney PhD, Poliwrath, trout
Clyde Cassin, Rapidash, lion
Faye Kuhic, Omanyte, manatee
Shelton Torp, Ekans, beetle
Hortencia Bahringer PhD, Meowth, dog
Miss Shiloh Bartell, Pikachu, koala
Spring Schmitt, Scyther, moose
Carylon Wisozk, Paras, water buffalo
Phoebe Lang, Vaporeon, hippopotamus
Billy Grady, Charmander, louse
Charlotte Zemlak, Squirtle, eel
Bernie Baumbach, Raichu, tortoise
Tisha Parisian, Beedrill, giraffe
