Felice Stracke Jr., Tangela, wasp
Cortney Anderson, Mew, mole
Wilmer Feest, Tauros, leopard
Dr. Duncan Connelly, Pinsir, armadillo
Edwardo Keebler, Ponyta, mallard
Rick Watsica, Clefable, rabbit
Miss Linwood Mitchell, Caterpie, eagle
Adan McLaughlin, Slowpoke, hedgehog
Les Schimmel IV, Lickitung, horse
Carmine Purdy, Geodude, eel
Ai Franecki, Seaking, wasp
Dalila Padberg, Porygon, duck
Mrs. Angelic Klocko, Abra, donkey
Klara Vandervort DDS, Rapidash, worm
Jolie Brown DVM, Vaporeon, spider
Jerri Goldner MD, Horsea, fish
Cary Heidenreich, Kabuto, sea lion
Janiece O'Keefe, Slowbro, mosquito
Randy Ziemann, Zubat, raven
Theo Schinner I, Koffing, goat
Ms. Clark Powlowski, Omastar, panda
Elden Quigley, Tentacruel, goat
Anabel Murray, Slowbro, ox
Felipe Schuster, Caterpie, dolphin
Tori Mosciski, Paras, wallaby
Duncan Watsica, Victreebel, swan
Inga Cummerata, Wigglytuff, frog
Page Beer Jr., Ninetales, tortoise
Gabriel Herzog, Victreebel, toad
Dr. Diego Effertz, Hypno, lizard
Collen Schumm, Rattata, ape
Ward Davis MD, Persian, turtle 
Leoma Swift, Farfetch'd, wildebeest
Ned Lynch, Victreebel, goose
Whitney Smitham, Dragonite, gerbil
Mrs. Stephane Hauck, Scyther, badger
Suzette Quigley, Magnemite, dog
Tien Dickinson, Koffing, impala
Mr. Ayanna Auer, Dugtrio, macaw
Vincenzo Maggio, Diglett, lion
Lucile Mitchell IV, Ekans, goose
Nadene Dibbert, Starmie, chimpanzee
Ms. Corey Nikolaus, Jynx, porcupine
Gerry Nolan, Omanyte, baboon
Dominique Runte, Cubone, alligator
Mr. Lorenzo Simonis, Haunter, tortoise
Mrs. Hattie Haley, Nidorino, swan
Christian Doyle, Mr. Mime, wombat
Aurelia D'Amore, Koffing, locust
Mr. Thurman Anderson, Slowpoke, sea lion
