Pricilla Hills, Fearow, goose
Craig Morissette, Omastar, whale
Larraine Thompson, Golem, monkey
Susannah Pacocha Sr., Starmie, herring
Nereida Hills, Koffing, hound
Ms. Jeffery Kessler, Nidorino, trout
Sherlene Luettgen, Bulbasaur, gorilla
Teodoro Lowe Jr., Machamp, hare
Danita Herzog, Voltorb, salmon
Albertha Lindgren II, Drowzee, reindeer
Miss Devora Metz, Hypno, moose
Lindsey Kozey, Ditto, kangaroo
Cletus Shanahan, Aerodactyl, macaw
Gilbert Wehner, Ivysaur, lizard
Keitha Walter IV, Bulbasaur, yellowjacket
Tyson Huels, Pidgeot, platypus
Tania Bernier, Tentacruel, salmon
Phillip Kuhn, Parasect, wolf
Karen Marvin, Weepinbell, termite
Faustino Kiehn, Goldeen, goose
Carlton Yundt, Pidgeotto, hamster
Porter Mraz, Venonat, clam
Louis Kling, Drowzee, baboon
Fay Brakus MD, Ditto, bear
Annetta Jacobs V, Charizard, duck
Marjorie Cruickshank, Charizard, worm
Dusty Rutherford I, Nidoqueen, herring
Yan Buckridge DVM, Articuno, koala
Apryl MacGyver, Starmie, monkey
Miss Christine Schuster, Paras, pig
Mr. Deneen Wisozk, Aerodactyl, cheetah
Merrilee Stoltenberg, Jolteon, squirrel
Maureen Schulist, Horsea, guinea pig
Gala Hand II, Electabuzz, hyena
Tracy Douglas, Mankey, eel
Kerry Leuschke, Arbok, pug
Miss Ted Hilpert, Koffing, wildebeest
Kristopher Barton, Sandslash, prairie dog
Eleanore Halvorson, Hitmonchan, antelope
Blanche Bartell IV, Magmar, grasshopper
Olive Kilback, Nidoqueen, scorpion
Long Langworth, Exeggcute, monkey
Esmeralda Jast, Bulbasaur, zebra
Michael Orn V, Pidgeotto, gnat
Joel Nader, Pidgeot, koala
Willene Russel, Golem, macaw
Malcolm Marks, Nidorina, wasp
Rodrick Pacocha, Kingler, wildebeest
Karren Pouros, Magikarp, woodchuck
Jada Christiansen, Ponyta, dolphin
