Antony Hirthe, Venusaur, pig
Percy Cartwright, Gyarados, cattle
Kerrie Rohan, Haunter, buffalo
Mr. Chloe Runolfsson, Alakazam, trout
Ike Stamm, Pidgeot, hyena
Jared Rolfson, Dugtrio, eel
Katharina Pollich, Oddish, armadillo
Gerald Collins, Charmander, armadillo
Edgar Bruen, Marowak, pug
Dudley Howe, Psyduck, clam
Jerry Kuphal, Moltres, prairie dog
Suk Breitenberg, Gyarados, bee
Leonor Collins DVM, Seaking, locust
Ms. Linwood Rutherford, Geodude, llama
Mervin Hoppe, Geodude, serval
Roman Runolfsdottir, Weepinbell, badger
Freddy Bartoletti, Aerodactyl, impala
Mrs. Doretta VonRueden, Nidorino, goat
Marcelino Wilderman, Weezing, hamster
Krysten Wuckert Sr., Slowpoke, gnu
Roosevelt Daugherty, Seaking, mule
Lon Flatley, Haunter, bear
Pat Davis, Slowpoke, fish
Maynard Hane, Vaporeon, buffalo
Lloyd Schinner, Krabby, jellyfish
Patience Mann IV, Ditto, grasshopper
Pa Greenfelder, Pidgey, weasel
Robena Witting, Clefable, beaver
Mrs. Suzy White, Nidorino, mallard
Sonja Schmeler, Shellder, locust
Audry Hauck, Vaporeon, platypus
Dr. Johnetta Morar, Machop, hedgehog
Mrs. Val Abbott, Caterpie, crocodile
Boyd McGlynn IV, Dratini, frog
Alexis Mayert, Tentacool, weasel
Ozzie Flatley V, Nidorino, moose
Rolland Ruecker, Haunter, buffalo
Giovanna Ratke, Aerodactyl, spider
Jarred Wolff, Machop, hare
Shirley Mante, Ditto, tiger
Geoffrey Considine, Exeggcute, beaver
Toshia Kunze, Weepinbell, zebra
Ned Crist III, Tauros, cheetah
Miss Versie Wiegand, Aerodactyl, wildebeest
Rigoberto Weber, Starmie, scorpion
Xavier Wehner, Venusaur, mammoth
Miss Hannah Senger, Eevee, raven
Gene Heidenreich, Grimer, scorpion
Pasquale Funk, Poliwrath, dog
Syble Lowe, Nidoqueen, gerbil
