Mr. Prince Davis, Paras, gerbil
Charise DuBuque, Scyther, crocodile
Dr. Mohammed Funk, Ditto, serval
Eddy Terry, Vulpix, ox
Scot Anderson, Fearow, panda
Ms. Marlon Tremblay, Bellsprout, armadillo
Dillon Wuckert, Electrode, mouse
Evelia Bednar Sr., Golem, crow
Paula Conroy, Onix, serval
Neville Shanahan, Mew, jackal
Carlo Bins, Nidorina, raven
Cory Erdman, Gastly, hornet
Miss Jerold Senger, Mewtwo, ape
Leila Turcotte, Ditto, buffalo
Dorian Conroy, Dragonite, gerbil
Rodrick Cronin V, Magnemite, mule
Benito Pagac II, Magneton, monkey
Crysta Ernser, Dugtrio, hamster
Sharen Legros PhD, Butterfree, pug
Raphael Kutch DDS, Abra, seal
Voncile Cormier, Persian, mosquito
Angelo Muller, Clefairy, cattle
Sharen Daniel, Chansey, gnat
Yuette Wisozk Sr., Poliwhirl, buffalo
Rickie Ernser DVM, Lickitung, cattle
Darren Lindgren, Moltres, minnow
Mathilde Walter, Pikachu, scorpion
Della Gusikowski, Kingler, hare
Alfredo Thompson DVM, Cubone, yellowjacket
Ms. Kenton Keeling, Scyther, antelope
Mrs. Tiny Klocko, Dugtrio, swan
Marx McGlynn, Tentacool, raven
Venus Borer, Vileplume, snail
Katherina Deckow, Chansey, spider
Lawrence Schuppe, Diglett, cat
Ernie Hoppe, Seadra, termite
Kizzy Predovic, Exeggutor, guinea pig
Roxane Auer, Magmar, scorpion
Roderick Satterfield, Exeggutor, louse
Myrl Schimmel DDS, Pidgeot, chinchilla
Miss Clyde Auer, Mankey, elephant
Magdalena Frami, Persian, ox
Mrs. Loni Zboncak, Jolteon, shark
Adam Dietrich, Drowzee, giraffe
Mathilda Pollich Sr., Charizard, walrus
Hester Ankunding, Electrode, goldfish
Evan Larson, Psyduck, raven
Glady Metz, Omastar, chimpanzee
Ellis Wuckert, Chansey, gnat
Conchita Franecki, Weedle, mammoth
