Everett Weissnat PhD, Jynx, moose
Brenton Lehner, Gyarados, monkey
Mervin Dach, Voltorb, cod
Mrs. Charley Hammes, Golduck, cattle
Felicidad Mitchell, Pikachu, cat
Lou Raynor, Machamp, guinea pig
Kerrie Conroy DVM, Dratini, chimpanzee
Shannon Parker, Gastly, trout
Richard Huel, Hitmonlee, camel
Dr. Broderick Wisozk, Spearow, elephant
Shalonda Hansen, Charmander, antelope
Lanny Rodriguez, Muk, raven
Robena Strosin, Rhydon, cat
Mr. Jaymie Labadie, Vulpix, mammoth
Onie Emmerich, Magikarp, camel
Jonna Swift, Electabuzz, gnu
Marcus Koss, Kingler, sea lion
Elia Bailey, Eevee, crab
Anitra Prohaska, Ivysaur, yak
Tyree Reynolds, Sandshrew, elephant
Brendan Rau, Rhydon, sheep
Noe Schroeder, Shellder, cricket
Randal Glover, Tauros, muskrat
Wesley Vandervort, Abra, mallard
Mrs. Lesley Quitzon, Raichu, kangaroo
Etsuko Schuppe MD, Rhyhorn, otter
Rory Schaden, Oddish, koala
Alfreda Howe, Scyther, prairie dog
Mr. Lashaunda Monahan, Mr. Mime, lion
Loni Gerhold, Chansey, salmon
Nelida Ratke, Vileplume, shark
Dr. Ronda Stoltenberg, Zubat, rat
Orval Fisher MD, Tauros, donkey
Garret Goyette, Shellder, porpoise
Cassy Bailey, Seaking, swan
Karlyn DuBuque, Marowak, cat
Orville Ortiz, Electabuzz, jackal
Karl Hayes III, Magikarp, termite
Joella Wolf, Alakazam, ant
Lourdes Reinger, Machoke, otter
Mrs. Cythia Mills, Chansey, bee
Frida Feest III, Pidgey, crab
Nathaniel VonRueden, Exeggutor, gnat
Rod Hammes, Omastar, guinea pig
Pablo Lemke, Persian, gnu
Herlinda Howell, Mewtwo, zebra
Clorinda Von, Blastoise, caribou
Mrs. Denny Reinger, Tauros, serval
Tameika Farrell, Metapod, ape
Devin Gleichner, Dodrio, manatee
