Eulah Trantow, Graveler, eel
Grant Larkin, Golem, duck
Darrick Mayert DDS, Charizard, pig
Ms. Marlyn Mraz, Growlithe, gnat
Enoch Moore, Marowak, ox
Mathilda Carroll, Rhyhorn, leopard
Takako Schulist, Nidoking, mallard
Cecily Kris DDS, Slowpoke, raven
Kelsey Hills, Jolteon, ox
Dante Bartoletti, Blastoise, llama
Shavonda Bode, Charmander, worm
Mitch Hessel, Nidorino, coyote
Miss Lynna Von, Poliwrath, mole
Tuyet Kerluke, Magneton, platypus
Christoper Muller, Victreebel, hornet
Lezlie Torp, Raticate, fox
Calvin Auer, Sandslash, trout
Luis Zieme, Kingler, locust
Chris Fahey, Omanyte, pig
Ms. Faith Schmeler, Zapdos, chinchilla
Tobias Lemke, Ninetales, hamster
Arthur Hayes MD, Growlithe, mosquito
Jesus Schultz, Weedle, fox
Tenisha Volkman III, Mew, mouse
Dr. Amal Metz, Muk, coyote
Hassan Kemmer, Pinsir, kangaroo
Jarvis McClure, Blastoise, macaw
Miss Carma Watsica, Poliwrath, badger
Patty Brekke PhD, Gastly, raven
Ward Yost, Kabutops, mallard
Erica Cormier, Ivysaur, louse
Tajuana Fahey, Paras, elk
Mr. Tobias Fadel, Onix, zebra
Jayne Parisian, Koffing, goldfish
Elissa Littel, Jolteon, fish
Mrs. Byron Franecki, Raticate, water buffalo
Mitch Lemke, Primeape, badger
Miss Iluminada Swift, Cubone, reindeer
Cortney McClure, Lickitung, cod
Long Glover, Jynx, giraffe
Lucrecia Kohler, Ivysaur, trout
Lonny Yundt, Hypno, termite
Carmelo Bosco, Vaporeon, crab
Mrs. Aurelia Hirthe, Weezing, cheetah
Delicia Bosco, Hitmonchan, squirrel
Marchelle Murphy, Aerodactyl, hedgehog
Miss Randolph Douglas, Lickitung, deer
Dr. Jena Lockman, Horsea, cattle
Delores Littel, Persian, ferret
Twila Herman, Nidoran, mink
