Dr. Otha McClure, Gyarados, sheep
Shaquana Greenholt, Graveler, goose
Nolan Franecki, Poliwrath, oyster
Alphonse Olson, Wigglytuff, serval
Irmgard Nicolas, Charizard, cricket
Renetta Sanford, Persian, rabbit
Moon Kunze, Slowbro, ape
Jasper Daniel, Kabuto, llama
Sang Quigley V, Charizard, trout
Robt Schmidt, Raichu, chimpanzee
Ms. Joeann Mayer, Diglett, rhinoceros
Mrs. Mauricio Wilkinson, Hitmonchan, monkey
Jasmin Spencer, Beedrill, impala
Anibal Schultz, Rattata, alligator
Chun Borer, Raticate, fox
Adrian Lowe, Fearow, armadillo
Lara Harvey, Golduck, marten
Winston Koepp, Muk, mallard
Dino Collier, Oddish, eagle
Desire Steuber, Arcanine, goldfish
Shirlene Kling PhD, Seel, hound
Pa VonRueden, Hitmonlee, zebra
Victor Hayes, Spearow, skunk
Janelle Kuhlman Sr., Farfetch'd, whale
Joel Kling Jr., Goldeen, pug
Ms. Rico Barton, Nidoran, bee
Adalberto Bailey, Omastar, gnat
Greg Jakubowski, Ninetales, prairie dog
Alfonso Hoeger, Electabuzz, gnat
Ai Stracke Jr., Dratini, bee
Victor Kuhic III, Farfetch'd, elephant
Mr. Lon Jaskolski, Ekans, hyena
Clyde Cummerata, Nidoran, gorilla
Deana Bode, Venonat, serval
Nathaniel Donnelly, Nidoran, ant
Ian Breitenberg, Tangela, platypus
Miss Tracee Paucek, Charmander, lion
Mr. Bari Baumbach, Poliwhirl, skunk
Angelica Robel, Clefairy, buffalo
Shaniqua Witting, Mew, dinosaur
Felicita Koch, Graveler, dinosaur
Mike Weissnat, Mewtwo, wildebeest
Marc Dach, Magnemite, porcupine
Henry Watsica, Jynx, scorpion
Ms. Dewitt Bergstrom, Vaporeon, tiger
Mack Schuster DDS, Onix, wombat
Mr. Winford Cassin, Zapdos, sea lion
Raul Thompson, Ninetales, wolf
Adolph Reilly, Machop, deer
Nilsa Beer, Goldeen, goldfish
