Linette Weissnat, Voltorb, hyena
Ira Hermiston II, Sandshrew, wallaby
Mrs. Denny Crona, Rhydon, ant
Deon Cremin, Magnemite, crow
Yung Kovacek, Grimer, moose
Wayne Heidenreich, Graveler, sardine
Hans Labadie, Jynx, wildebeest
Ms. Rosalee Lowe, Metapod, panda
Karena Kerluke, Exeggutor, chimpanzee
Emery Kihn, Scyther, spider
Dr. Traci Rath, Hitmonchan, antelope
Emmett Pagac MD, Staryu, raven
Homer Simonis, Magmar, scorpion
Williemae Rempel, Chansey, turtle 
Raquel Predovic, Psyduck, wasp
Zina Rogahn DVM, Squirtle, pig
Darin Zieme MD, Poliwrath, tiger
Ms. Frank DuBuque, Slowbro, bat
Arlen Runte, Pinsir, spider
Abdul Green, Pidgeot, lion
Ariane Hermann DVM, Omastar, horse
Lazaro Lueilwitz, Golem, moose
Dr. Ernestine Bernhard, Magnemite, mosquito
Theron Bayer, Venusaur, otter
Kathern Reichert, Kakuna, beetle
Noble Senger, Bellsprout, water buffalo
Mrs. Daren Spencer, Magneton, pig
Clarence Cole, Electrode, termite
Teressa Cartwright, Poliwhirl, giraffe
Gary Ullrich DDS, Poliwag, dinosaur
Miss Elayne Romaguera, Charmander, cod
Aurelio Reichel DVM, Haunter, eel
Rachele Cummerata DDS, Ekans, hippopotamus
Oswaldo Koss, Haunter, gorilla
Kerry Hansen, Butterfree, horse
Allan Reichert, Seel, crocodile
Loan Koelpin, Gastly, worm
Humberto Nolan, Rapidash, butterfly
Bobbie Haley, Bulbasaur, mouse
Mr. Denver Koch, Mewtwo, coyote
Ms. Krystal Yundt, Dragonite, skunk
Theola Walter, Geodude, gerbil
Sung Wolf, Bellsprout, louse
Dia Turner, Magmar, termite
Ms. Maribel Walter, Bulbasaur, wallaby
Sid Hoppe, Rhyhorn, fly
Vella Dicki, Pinsir, rhinoceros
Rory Bogan, Magikarp, beetle
Azzie Bins, Jynx, sardine
Rubi Gulgowski, Metapod, turtle 
