Vanessa Rodriguez, Poliwag, grasshopper
Lacresha Powlowski, Dragonite, seal
Jamel Gorczany, Geodude, sheep
Ahmed Moen MD, Mewtwo, rat
Latrina Kertzmann, Rapidash, badger
Macy Stoltenberg, Flareon, deer
Mr. Von Bode, Weezing, cheetah
Monica Kris, Wigglytuff, hedgehog
Preston Grimes, Beedrill, goldfish
Edmund Russel, Muk, baboon
Zachery Schmidt, Rattata, jellyfish
Salvatore Thiel, Kabuto, worm
Luis Harber, Kingler, water buffalo
Ms. Margaretta Mayert, Dragonite, rat
Karly Stark, Rhyhorn, sardine
Aaron Daniel DDS, Gyarados, badger
Dr. Fred Cormier, Wartortle, goldfish
Leo Abernathy PhD, Caterpie, leopard
Dr. Alysha Hagenes, Shellder, dog
Mr. Bernice Cassin, Slowbro, gorilla
Mr. Laverne Weimann, Spearow, hippopotamus
Francis Brekke, Horsea, dinosaur
Emilie Ritchie, Seadra, ant
Brain Ledner, Wigglytuff, bee
Dennis Kshlerin, Nidoran, crocodile
Angelika Hermann, Graveler, lizard
Ruben Feest, Spearow, goat
Kali Zulauf, Golduck, sheep
Rebecka Carter, Growlithe, eel
Morton Koepp, Scyther, marten
Melida Boyle II, Omastar, skunk
Alvin Sporer, Kangaskhan, hare
Seymour Luettgen, Krabby, shark
Noah Carroll, Staryu, beetle
Ted Muller II, Slowbro, guinea pig
Roberta Lindgren, Kingler, armadillo
Jamison Will, Paras, ferret
Lissa Jaskolski, Slowbro, mole
Francis Hermann PhD, Machoke, alpaca
Orville Stroman, Horsea, deer
Earle Labadie, Machop, baboon
Dr. Stuart Auer, Wigglytuff, prairie dog
Branden Gutkowski, Dodrio, yellowjacket
Wally Harvey DDS, Rattata, cheetah
Mrs. Leo Orn, Gastly, cockroach
Ms. Bryant Mertz, Magmar, clam
Reginald Becker, Exeggutor, hyena
Winfred Christiansen, Poliwag, raccoon
Hector Funk, Slowbro, deer
Dr. Catalina Bayer, Paras, lion
