Mrs. Warner Champlin, Mr. Mime, raven
Johnny Zieme, Beedrill, fly
Aletha Fay, Exeggcute, cod
Peter Veum, Krabby, otter
Yetta Huel, Cubone, prairie dog
Nieves McClure II, Primeape, herring
Felica Pollich, Kabuto, water buffalo
Mr. Fleta Prosacco, Gengar, cod
Raymond Murazik, Koffing, manatee
Lelah Harber, Horsea, cicada
Tajuana Schoen, Fearow, cheetah
Jerrell Doyle, Voltorb, koala
Jody Emmerich, Mewtwo, turtle 
Gino Simonis, Staryu, dinosaur
Joseph VonRueden, Ivysaur, deer
Ms. Shila Ortiz, Electrode, water buffalo
Reginia Larkin Jr., Nidoking, butterfly
Keneth O'Kon I, Electabuzz, coyote
Dovie Hessel, Exeggcute, zebra
Christina Deckow, Kabuto, cod
Dr. Lorna Jacobson, Mr. Mime, cheetah
Tim Mitchell, Meowth, porcupine
Lorenzo Jacobson, Tauros, squirrel
Noma Schowalter III, Seaking, otter
Gayle Yost, Tentacruel, serval
Parker Parker IV, Moltres, caribou
Lilli Wintheiser, Electrode, locust
Joaquin Bode, Omanyte, eagle
Shanti Kuvalis Jr., Gastly, spider
Dr. Nathanael Jacobson, Machamp, walrus
Sharyl Leuschke Jr., Dodrio, salmon
Floria Pagac, Jolteon, bee
Gladys Hyatt, Moltres, crow
Ms. Brian Strosin, Nidoqueen, coyote
Mr. Freddie Schmeler, Kangaskhan, rat
Tory Kshlerin Jr., Aerodactyl, panda
Isaias Hagenes, Venomoth, lion
Shayla McLaughlin, Vileplume, mink
Winston Cummerata, Spearow, whale
Miss Chantal Kuvalis, Cubone, trout
Polly Weissnat, Oddish, muskrat
Jacinto Zemlak V, Eevee, muskrat
Gabrielle Reinger, Venonat, gnu
Dr. Wendy Bartell, Charmander, otter
Ms. Kory Beahan, Weezing, chinchilla
Linsey Bechtelar, Nidoking, turtle 
Leanne Kohler, Kadabra, sea lion
Donte Kovacek, Hitmonlee, salmon
Ms. Cyrus Kreiger, Horsea, raccoon
Fannie Turner, Machoke, sardine
