Buddy O'Connell MD, Electrode, coyote
Jolene Fay, Machamp, kangaroo
Brittni Upton, Ponyta, bear
Clyde Marquardt, Cloyster, cheetah
Dwight Beier, Gloom, jellyfish
Vincent Klein, Mankey, mosquito
Maryjo McCullough, Golem, louse
Melodi Bashirian, Magmar, tortoise
Ezequiel Gleason, Mr. Mime, hamster
Emil Stiedemann DVM, Farfetch'd, locust
Demetrius Borer, Magikarp, duck
Melanie Labadie, Clefable, rhinoceros
Julianne Gusikowski, Rhydon, raccoon
Vertie Grady, Exeggcute, impala
Mrs. Conception Farrell, Jigglypuff, spider
Miss Alycia Bins, Tangela, gerbil
Mui Daniel, Krabby, cod
Rosalinda Borer DVM, Tentacool, chimpanzee
Ms. Coleman Treutel, Nidoqueen, gnu
Caryn Dietrich, Caterpie, ape
Delmer White, Tauros, cat
Loree Murazik, Seaking, scorpion
Simon Macejkovic, Gyarados, hornet
Anton Rath, Ditto, gnu
Claud Boehm Jr., Vileplume, whale
Darline Cronin, Zapdos, skunk
Layla Blanda Sr., Gyarados, elk
Gemma Russel, Jigglypuff, crocodile
Enrique Streich, Goldeen, whale
Verdie Tillman, Nidoking, jackal
Jude Stamm IV, Zapdos, crow
Micheal Kilback, Poliwrath, deer
Sirena Welch DDS, Jolteon, yak
Monroe Bergstrom, Venonat, dog
Alfonso Schiller, Blastoise, baboon
Christina Christiansen MD, Ekans, walrus
Lowell Ondricka, Charmeleon, cicada
Claude Rogahn, Eevee, antelope
Tashia Raynor, Hypno, yak
Erika Larson, Oddish, bat
Miss Saul Watsica, Omastar, swan
Lonna Bosco III, Dewgong, wombat
Robena Anderson III, Slowpoke, badger
Clay Boyle, Zapdos, trout
Maribel Ledner, Zubat, jellyfish
Spring Lehner, Omastar, prairie dog
Tianna Huel, Hypno, beaver
Israel Daniel, Omastar, giraffe
Aron Kuhic MD, Venusaur, rhinoceros
Debrah Krajcik PhD, Cloyster, chimpanzee
