Neta Denesik, Chansey, chinchilla
Dr. Adolph Monahan, Ninetales, crocodile
Edmond Terry, Staryu, herring
Leroy Kilback, Dragonite, crocodile
Jeanette Hilpert, Nidorina, muskrat
Donald Bauch, Ivysaur, yak
Ms. Haywood Wisoky, Rhyhorn, cicada
Jordon Padberg, Geodude, cicada
Mauricio Lakin, Staryu, yak
Ms. Cordelia Crona, Flareon, sheep
Ms. Lashunda Fadel, Psyduck, goose
James Leuschke, Venonat, whale
Christoper Kris, Mew, beaver
Mr. Melissa Blick, Rhyhorn, chimpanzee
Jude Auer I, Gyarados, gnat
Donald Heaney, Victreebel, duck
Jacquline Sauer, Hitmonlee, porcupine
Evangeline O'Conner, Bellsprout, donkey
Buck Casper, Growlithe, coyote
Mr. Jospeh Hamill, Tangela, marten
Mrs. Wendell Mertz, Rhydon, dinosaur
Jerri Dickinson V, Lapras, raccoon
Terina Lubowitz, Shellder, mouse
Douglas Bartell, Golduck, sheep
Mr. Olen Braun, Golem, ferret
Jacquelyne Bashirian, Arcanine, walrus
Flossie Morissette, Chansey, mole
Vaughn Cormier, Nidoran, snail
Verlie Morar, Doduo, cricket
Marcella Bosco, Ninetales, scorpion
Aida Nicolas, Growlithe, swan
Beth Schulist, Gyarados, cod
Lidia Mann, Venomoth, bat
Jenice Weissnat, Zapdos, weasel
Florentino Deckow, Primeape, scorpion
Temeka Zieme, Dewgong, swan
Adalberto Lehner, Wigglytuff, rat
Truman Denesik DVM, Farfetch'd, zebra
Keisha Crooks, Tentacool, sheep
Eliseo Williamson, Beedrill, hound
Burl Kling, Magikarp, goose
Tommie Klocko, Venusaur, muskrat
Marielle Gaylord, Krabby, wildebeest
Daisey Lesch, Golem, coyote
Tiffaney Shields, Rhydon, moose
Miesha Walker, Poliwrath, zebra
Miss Melonie Dare, Dodrio, eagle
Kenneth Pouros, Farfetch'd, eel
Echo Douglas Sr., Golem, crow
Elly Cummerata, Golduck, snake
