Lakeisha Dickinson, Tentacool, reindeer
Samuel Torp, Kangaskhan, hyena
Claretta Hudson III, Poliwrath, elk
Dong Mayert, Ivysaur, bear
Guillermo Hilpert, Kangaskhan, hare
Diego Veum, Porygon, butterfly
Miss Mohammad Luettgen, Mewtwo, macaw
Roger Morar, Machop, camel
Katherin Weimann PhD, Bellsprout, tortoise
Ivelisse Bernier, Weezing, weasel
Christian Ullrich, Machoke, mouse
Darrel Jakubowski, Gengar, buffalo
Teddy Jenkins, Gengar, camel
Argentina McLaughlin, Tentacruel, bear
Jerry Bechtelar I, Gastly, raccoon
Xavier Herzog DVM, Magneton, yak
Yael Friesen, Hitmonchan, baboon
Florentino Cremin, Fearow, walrus
Mertie Durgan, Lapras, guinea pig
Alana Mosciski, Hitmonchan, tortoise
Tanner Gorczany, Raticate, mammoth
Christiane Stamm, Grimer, goat
Russell Wehner, Exeggcute, jellyfish
Mrs. Bruno Brown, Jigglypuff, worm
Vanesa Williamson, Venonat, badger
Mr. Winfred Abbott, Kakuna, oyster
Milton Spencer, Gloom, armadillo
Lashawn Stokes II, Graveler, hippopotamus
Edmundo Murazik, Slowpoke, shark
Heidi Hegmann, Charmeleon, serval
Chance Shanahan, Ninetales, turtle 
Leo Schiller, Magneton, porcupine
Dr. Emerson Volkman, Goldeen, duck
Angelo Schaden V, Pikachu, kangaroo
Ernest Reichert, Nidorina, cockroach
Dr. In Monahan, Tentacool, otter
Alden Koch, Sandslash, wallaby
Eugenio Bernhard, Graveler, lizard
Isidra Schaden II, Marowak, frog
Nakia Jones, Diglett, badger
Val Baumbach, Tauros, bee
Florance O'Connell, Cloyster, butterfly
Delbert Heaney, Omastar, pig
Alejandro Wuckert, Fearow, elephant
Mrs. Rodolfo Rodriguez, Vileplume, herring
Venus Zieme, Voltorb, yak
Dr. Emmett Mosciski, Slowbro, fly
Ronnie Rau, Paras, chinchilla
Dr. Shantelle Quitzon, Zubat, caribou
Guadalupe Feest, Lickitung, toad
