Willian Jacobson V, Tentacool, platypus
Serafina Lebsack, Rhydon, worm
Hector Johnson, Dragonair, bat
Ms. Cordie Lind, Charizard, mallard
Wei Senger, Venomoth, butterfly
Dr. Cortez Schroeder, Zapdos, alligator
Nigel Medhurst, Arcanine, lizard
Rebbeca Kerluke, Starmie, yellowjacket
Ozzie Glover Jr., Mewtwo, mole
Eldridge Hagenes, Rhyhorn, macaw
Mrs. Sibyl Beahan, Growlithe, prairie dog
Von Gibson, Arbok, mole
Mrs. Alexis Thiel, Golbat, spider
Cheryll Auer, Moltres, dolphin
Samuel Lang, Poliwag, yellowjacket
Jolene Russel, Zubat, dinosaur
Tora Jones, Krabby, prairie dog
Horace Dicki, Squirtle, goldfish
Cyril Larkin MD, Gengar, gnat
Wilber Keebler, Paras, porpoise
Mae Wiza I, Horsea, mosquito
Ms. Britni Renner, Staryu, minnow
Burl Kreiger, Tauros, hyena
Annamae Hand, Drowzee, butterfly
Tyler Moen, Nidorino, water buffalo
Ms. Jarrod Jast, Mewtwo, platypus
Tessa King, Zubat, porpoise
Mariah O'Kon, Tentacruel, alligator
Carley Tromp, Dragonite, hippopotamus
Kim Ebert, Exeggcute, cod
Jarred Murphy, Omastar, serval
Jewell Franecki DDS, Butterfree, eel
Georgene Schimmel, Shellder, hare
James Jacobi, Alakazam, hedgehog
Ms. Clemmie Shanahan, Pidgeot, ferret
Jewel Hartmann, Farfetch'd, sheep
Shirly Pacocha, Arbok, rabbit
Kendrick Cole, Pinsir, platypus
Dr. Lee Cummings, Ivysaur, skunk
Mr. Harland Reichert, Dratini, monkey
Yasmin Howe, Lapras, dolphin
Mrs. Sallie Kris, Articuno, beetle
Ms. Stanford Johnston, Drowzee, fox
Henry Armstrong, Goldeen, clam
Karlene Goyette, Clefairy, eel
Elvin Bogisich, Starmie, elephant
Marshall Dare, Dodrio, donkey
Jackson Mitchell, Venomoth, yellowjacket
Maura Corkery Sr., Marowak, tortoise
Emil Satterfield, Seaking, antelope
