Lance Cruickshank DVM, Growlithe, caribou
Lincoln Osinski, Tentacruel, monkey
Adah Ebert, Slowbro, cheetah
Tasia Spinka IV, Pidgeotto, clam
Felisa Bernhard, Spearow, elk
Dr. Jason Towne, Arbok, herring
Hyacinth Quigley V, Geodude, skunk
Jonah Stoltenberg, Dragonair, macaw
Alberto Kub, Ditto, marten
Tashina Luettgen, Rhydon, hippopotamus
Thurman Kshlerin, Magikarp, eagle
Ji McKenzie, Vulpix, crow
Dr. Perla Mante, Gloom, manatee
Velia Ward PhD, Charmander, spider
Earlean Jast, Scyther, hedgehog
Renay Huel, Beedrill, hornet
Wally Heathcote MD, Golbat, butterfly
Renato Waelchi, Blastoise, jellyfish
Darcey Cremin, Omanyte, wolf
Ellamae Klocko, Primeape, buffalo
Ms. Liliana Klein, Weepinbell, sheep
Mr. Billie Lynch, Onix, giraffe
Chi Bins V, Charizard, yak
Clyde Nitzsche, Alakazam, ant
Stepanie Mraz, Dragonite, kangaroo
Marion VonRueden, Starmie, ferret
Mrs. Sylvia Crooks, Haunter, whale
Mechelle Keebler, Wigglytuff, goat
Claude Nolan, Electabuzz, manatee
Marcelina Schmeler, Chansey, crow
Jen Simonis, Muk, goose
Mr. Freeman Quigley, Arcanine, hyena
Collin Rippin, Abra, frog
Catina Yundt, Omastar, bear
Jamison Pagac, Victreebel, mole
Mrs. Harrison Bernier, Eevee, rabbit
Tracy Waelchi V, Slowpoke, snail
Ms. Emmitt Olson, Hitmonlee, porcupine
Tennie Hudson DVM, Moltres, bee
Dwayne Konopelski, Charmander, caribou
Shelby Romaguera, Kabuto, sardine
Mrs. Rafael Prohaska, Seadra, mallard
Sunshine Reichel, Drowzee, gnu
Jerrold Herzog, Primeape, chinchilla
Booker Durgan MD, Staryu, locust
Anette Kirlin, Dragonite, chimpanzee
Zulema Herman, Charmander, snake
Ronnie Collier, Kabutops, scorpion
Wiley Becker, Alakazam, hare
Miss Shad Daugherty, Kakuna, leopard
