Adelina Senger IV, Hypno, lizard
Ronny McDermott, Venusaur, marten
Reyes Deckow, Jolteon, beetle
Aleta Smith, Poliwag, toad
Viola Hackett II, Goldeen, cattle
Taisha Schimmel, Victreebel, jellyfish
Willie Parker, Sandslash, mammoth
Rolf O'Hara, Geodude, dinosaur
Branden Tillman, Weezing, spider
Dr. Napoleon Kuvalis, Slowpoke, horse
Kelley Raynor, Poliwhirl, termite
Dr. Mauricio Sauer, Gengar, wallaby
Pearlene Pagac, Electabuzz, crow
Garret Osinski, Poliwhirl, dolphin
Mrs. Bettye Langosh, Magnemite, rhinoceros
Stephen Rau, Eevee, jackal
Reynaldo Walsh, Omastar, goose
Mr. Ozzie Funk, Rapidash, clam
Emil Monahan, Electrode, alligator
Deandre Gerlach, Gyarados, impala
Robby Effertz, Aerodactyl, goose
Torrie Olson, Eevee, wildebeest
Theo Grady, Ninetales, eel
Jamal Simonis Sr., Bellsprout, donkey
Jon Volkman, Doduo, pug
Travis McLaughlin, Nidorino, porcupine
Val Schiller PhD, Raticate, wildebeest
Jodee Yundt, Exeggutor, goat
Mitchel Boyer, Weepinbell, impala
Elwanda Pagac, Mr. Mime, ant
Romona Hegmann, Chansey, kangaroo
Melda Cartwright, Tentacruel, spider
Mr. Jean MacGyver, Alakazam, otter
Teodoro Gusikowski, Voltorb, bear
Krishna Rodriguez Sr., Geodude, yak
Cecilia Konopelski, Venusaur, mole
Annmarie Lynch MD, Victreebel, cockroach
Verdell Walsh, Gastly, otter
Suzette Gottlieb, Kabutops, rabbit
Ayana Kiehn, Sandshrew, spider
Jamaal Johnson, Eevee, horse
Tawanda Hamill, Diglett, alligator
Flavia Haag, Machop, beaver
Keneth Gutkowski, Charmander, hornet
Joseph Greenfelder, Dratini, serval
Margarete Schroeder, Wigglytuff, prairie dog
Tyrone Zemlak, Meowth, deer
Vita Schroeder, Butterfree, panda
Sydney Effertz, Poliwrath, mule
Grover Gleichner I, Tangela, lizard
