Chery Jakubowski, Koffing, swan
Idalia Watsica, Gastly, rat
Jimmy Heaney, Zapdos, walrus
Leland Bednar IV, Chansey, zebra
Janis Leannon, Kakuna, crow
Tom Corwin, Arcanine, kangaroo
Demetra Mayert, Victreebel, fish
Lyndsey Dooley, Squirtle, fox
Miss Marisha Flatley, Pidgeotto, fish
Cassey Cremin, Vulpix, pug
Numbers Gerlach, Dewgong, cicada
Clifton Marquardt, Slowbro, platypus
Earle Ruecker, Pidgeotto, kangaroo
Toney Yundt, Lickitung, fly
Ms. Catharine Klein, Pidgey, bat
Joaquina Roob, Omanyte, armadillo
Robyn Hartmann, Golem, louse
Mr. Emilio Shanahan, Golbat, beaver
Mr. Celestina Erdman, Oddish, serval
Hedy Ruecker, Magmar, marten
Laura Robel, Poliwrath, cockroach
Miss Chelsea Veum, Omastar, crab
Sarai Nicolas, Vaporeon, woodchuck
Alonzo Jerde, Scyther, hippopotamus
Ms. Merrie Dare, Kadabra, locust
Keila Corkery, Geodude, mule
Thomasina Rodriguez, Seel, jellyfish
Ivonne Mertz DVM, Kabutops, elephant
Miss Larry Borer, Doduo, porcupine
Aracely Stark, Weezing, ferret
Magali Ernser, Bulbasaur, caribou
Roosevelt Prohaska, Venusaur, herring
Cordia Hirthe I, Aerodactyl, impala
Miss Joel Treutel, Shellder, pig
Hubert Johns, Golem, clam
Joyce Bernhard, Persian, bat
Antonio Roberts, Abra, dinosaur
Miguelina Rau, Wartortle, panda
Mr. Ervin Sawayn, Machop, horse
Dino Kerluke, Sandshrew, tiger
Daisy Kuhn MD, Kadabra, bee
Abdul Ledner, Seaking, armadillo
Wilfredo Gaylord, Omastar, gnat
Heriberto Veum, Pikachu, rat
Miss Tommy Pacocha, Slowpoke, ant
Jannette Bashirian, Hypno, chimpanzee
Porsche Swaniawski, Mew, muskrat
Alberto McDermott, Machamp, guinea pig
Mr. Timmy Huel, Magikarp, skunk
Eliseo Wisoky, Pikachu, wolf
