Eufemia Medhurst, Gengar, pig
Dino Zieme, Vileplume, scorpion
Mrs. Charlott Berge, Kakuna, swan
Nicole Schinner, Nidoran, squirrel
Ms. Remona Ebert, Rapidash, marten
Quintin Murray, Clefable, monkey
Trey Erdman, Pidgey, oyster
Odell Hansen, Doduo, skunk
Idalia McLaughlin, Pinsir, wasp
Stacy Ratke, Tentacool, jellyfish
Clinton Dach, Scyther, llama
Rashad Schinner, Ivysaur, cricket
Christia Mayer, Lickitung, camel
Shawanna Heidenreich, Ditto, duck
Matt Gibson, Nidorina, cricket
Ellamae Morar, Seadra, clam
Mr. Ute Buckridge, Gastly, turtle 
Maritza Wisozk, Charmander, mule
Kimbra Lehner, Growlithe, raven
Jerald Hegmann III, Graveler, zebra
Marjorie Kuhlman, Abra, donkey
Katina Howell, Rhyhorn, rabbit
Rudy Towne, Machop, raccoon
Rupert Jones, Bellsprout, tortoise
Kami Ortiz PhD, Voltorb, wombat
Janett Powlowski, Exeggcute, horse
Adrian Jacobi, Poliwag, clam
Merideth Lockman, Golem, hound
Clement Feest DDS, Bellsprout, hound
Burton Kuphal, Spearow, dinosaur
Mr. Diego Rolfson, Golem, bee
Derek Nienow, Wigglytuff, ant
Reina Corkery, Dewgong, marten
Marcus Brekke, Psyduck, squirrel
Mrs. Jody Gibson, Rhyhorn, cricket
Lucienne Anderson DVM, Bulbasaur, sheep
Serena Spencer Sr., Poliwhirl, mammoth
Cliff Waters, Jolteon, panda
Miss Marta McKenzie, Muk, tiger
Ms. Renea Keebler, Nidoqueen, sardine
Dr. Anglea Stanton, Diglett, sheep
Louis Boyle, Golbat, seal
Rosemarie Greenholt, Weedle, monkey
Pansy Hodkiewicz, Seel, squirrel
Jamal Nicolas, Charmander, macaw
Kia Kirlin, Mankey, termite
Jannet O'Connell Jr., Mewtwo, hound
Wayne Jenkins V, Aerodactyl, cattle
Dagny Schulist V, Seadra, gnu
Leigh Stroman, Nidorina, mule
