Jonell Haag, Bulbasaur, whale
Graham Schulist, Marowak, panda
Dudley Wisoky, Ivysaur, fox
Dalia Nicolas, Clefairy, shark
Diego Farrell I, Slowpoke, hound
Adelaide Bednar, Jynx, cattle
Miss Heriberto Zemlak, Psyduck, fox
Hai Bradtke, Lickitung, camel
Tangela Kunde, Machamp, sheep
Jeane Toy DDS, Metapod, spider
Aiko Hamill, Magmar, horse
Wilton Swift, Rhyhorn, reindeer
Laila Stehr, Ninetales, woodchuck
Albertina Schmeler, Vulpix, jackal
Jarred Mann, Parasect, seal
Jonelle Herman, Seadra, moose
Raymond Upton, Paras, lion
Emery Kohler, Rapidash, kangaroo
Douglas Sanford, Alakazam, platypus
Nathanael Wilderman, Nidoqueen, gnat
Eldon Friesen, Hitmonlee, ferret
Cristopher Larkin, Dragonair, shark
Rich Barrows, Oddish, dog
Dung Kuphal, Omastar, seal
Chu Pouros, Chansey, eel
Mariano Wunsch, Alakazam, gerbil
Elvis Feil, Mew, sardine
Filomena Schuster V, Marowak, eel
Danica Schneider DDS, Jynx, minnow
Erwin Rogahn, Rhydon, goose
Felipa Funk, Drowzee, sheep
Shelton Greenfelder, Koffing, ape
Mrs. Kris Reinger, Raichu, hippopotamus
Fritz Jacobson, Dragonair, platypus
Jody Durgan I, Geodude, yak
Miss Isreal Hudson, Horsea, skunk
Ms. Erasmo Rutherford, Pidgey, whale
Elia Kreiger, Dugtrio, tiger
Ellis Vandervort, Zapdos, cod
Willard Schiller, Alakazam, scorpion
Kelley Tromp, Eevee, hyena
Dr. Nakesha Macejkovic, Machamp, skunk
Ms. Ryann Pagac, Nidoqueen, moose
Maurice Sauer, Hitmonlee, tiger
Mr. Miss Rowe, Scyther, lizard
Jerold Treutel I, Chansey, termite
Rodolfo Carter III, Caterpie, zebra
Trenton Predovic, Machop, gnat
Isaura Bailey IV, Machop, raccoon
Kitty Lehner, Ekans, coyote
