Martin Ruecker, Machamp, turtle 
Leandro Waelchi, Charizard, mosquito
Renee Brown, Exeggcute, tortoise
Della Bailey, Abra, bear
Digna Schmeler, Dodrio, fox
Mr. Daren Schumm, Ponyta, grasshopper
Mrs. Edwardo Gleason, Koffing, wasp
Kristopher Cremin V, Blastoise, mole
Jerrell Lebsack PhD, Snorlax, wildebeest
Hans Paucek, Electrode, turtle 
Cristopher Keebler, Cubone, guinea pig
Mauro Nicolas, Kangaskhan, seal
Carli Davis, Rapidash, cattle
Tomika Price, Articuno, crab
Alane Wuckert, Eevee, crocodile
Charlesetta Rempel, Tentacruel, jellyfish
Numbers Bogan, Weezing, lizard
Emil Windler, Golem, yellowjacket
Linnea Kub, Hypno, buffalo
Miss Ana Gaylord, Raichu, guinea pig
Nick Towne, Nidoran, termite
Shawnta Jenkins, Growlithe, beetle
Mrs. Dwight Kilback, Magikarp, skunk
Velvet Miller, Beedrill, jellyfish
Dr. Otis Fay, Jynx, llama
Mrs. Lauralee Mills, Graveler, gorilla
Mrs. Sharonda Gottlieb, Charmeleon, alpaca
Carlton Wiza Jr., Tauros, hyena
Lorriane Reynolds, Venonat, ant
Sook Effertz DVM, Onix, beaver
Tabetha Sauer, Rattata, cheetah
Galen Kozey, Venusaur, antelope
Carroll Wyman, Horsea, wildebeest
Issac Abernathy II, Goldeen, hound
David Thiel, Jolteon, armadillo
Clemente Simonis, Rattata, kangaroo
Mrs. Monika Welch, Slowpoke, goose
Zack Kemmer, Oddish, ape
Camelia Miller, Kadabra, panda
Phillis Hessel, Seadra, porpoise
Deeanna Carroll, Venomoth, wolf
Caryl Veum I, Raticate, wasp
Leonore Armstrong Jr., Sandslash, wombat
Shane Olson, Slowbro, raven
Elias McCullough, Marowak, yak
Garret Gaylord DVM, Drowzee, sea lion
Chad Marquardt, Golbat, ferret
Vi Parker, Flareon, hippopotamus
Gary Walter, Aerodactyl, goat
Mrs. Lucio Becker, Pinsir, panda
