Lyndon Berge I, Gengar, goose
Dorsey Konopelski, Diglett, goat
Jonathon Jenkins PhD, Moltres, rat
Rosia Hand, Hitmonchan, cod
Lenard Von, Beedrill, yellowjacket
Stella Effertz, Mankey, minnow
Greg Stamm, Snorlax, snake
Maranda Gerhold, Kangaskhan, macaw
Courtney Cruickshank, Lapras, mule
Mr. Mohammad Davis, Mewtwo, mosquito
Petra Moore, Paras, donkey
Dr. Mira Monahan, Slowbro, sheep
Ms. Samatha Wolff, Mew, rabbit
Nona Wilkinson, Poliwrath, turtle 
Harland Berge I, Kingler, elk
Bee Collins, Nidoqueen, platypus
Cleotilde Hane V, Machoke, raven
Clemente Koepp DDS, Mankey, cricket
Coy Ward, Omanyte, badger
Bradford Corwin, Hypno, clam
Sharita Schaefer, Dodrio, lion
Felicita Reinger, Slowbro, hornet
Ralph Goldner, Jigglypuff, minnow
Dirk Gerhold, Sandshrew, macaw
Marybeth Mayer DVM, Magnemite, llama
Kathrine Tremblay, Exeggutor, guinea pig
Keeley Nolan Jr., Gastly, hare
Johnie Russel, Jigglypuff, worm
Keri Padberg, Nidoran, mallard
Norbert Swaniawski, Pidgeot, ape
Slyvia McCullough, Jigglypuff, shark
Mr. Joette Dickens, Victreebel, rhinoceros
Reid Walter MD, Oddish, serval
Coy Casper, Clefairy, camel
Clement DuBuque II, Tentacruel, tortoise
Hyman Green, Kabutops, gnu
Kathryn Blanda V, Hitmonchan, beetle
Piper Wyman DDS, Flareon, otter
Elvis Bahringer, Seadra, baboon
Dr. Mozella Cassin, Charmander, gorilla
Numbers Langosh, Chansey, reindeer
Leana Hand, Nidoqueen, wombat
Dr. Vanessa Blanda, Spearow, wildebeest
Stepanie Fay, Dugtrio, cockroach
Dr. Waneta Cassin, Gastly, armadillo
Dr. Nevada McClure, Zapdos, grasshopper
Rupert Emmerich PhD, Rattata, porcupine
Manuela Jaskolski, Raticate, shark
Miss Carmelo O'Conner, Nidoking, mosquito
Madalyn Rau, Dragonite, louse
