Catherin Turcotte, Ekans, hippopotamus
Trula Mante, Porygon, hyena
Mr. Les Boyle, Weedle, louse
Fausto Armstrong, Arcanine, panda
Janine McLaughlin, Kadabra, leopard
Shon Kerluke MD, Sandslash, mosquito
Malik Bogisich, Kabutops, spider
Jerri Boyer, Voltorb, koala
Keren Cole, Paras, raccoon
Roselyn Hettinger II, Mankey, jackal
Karisa Prohaska, Wigglytuff, pug
Michal Gutmann, Pidgey, locust
Willie Koepp, Butterfree, elk
Gina Gerlach, Meowth, minnow
Magen Labadie II, Ponyta, snake
Vern Moore, Graveler, mallard
Maryann Tremblay, Dewgong, bear
Eliseo Bauch, Machamp, skunk
Chana Berge, Ponyta, manatee
Shenita Gerlach, Bellsprout, wildebeest
Hedwig Johnson Jr., Golbat, impala
Gil Bosco MD, Spearow, mole
Bonnie Hilll, Rhyhorn, locust
Leroy Terry, Nidorino, elk
Randell Adams, Kakuna, cockroach
Madge Dickinson, Abra, wolf
Van Tremblay, Pidgeotto, horse
Tuan Kuhlman, Blastoise, trout
Hai Klocko, Kingler, sardine
Mitzi Champlin, Weepinbell, wombat
Veta Jast, Pinsir, gerbil
Jerald Sipes, Machamp, minnow
Elton Hansen I, Mew, elk
Willy Barton, Clefable, ferret
Consuelo Kilback, Arcanine, herring
Florencio Kuphal, Rapidash, moose
Madeleine Schultz V, Wigglytuff, butterfly
Kelli Howell, Nidorino, crow
Carey Sipes, Bulbasaur, chinchilla
Elodia Schowalter III, Golduck, alligator
Milagros Mayer, Caterpie, snake
Garfield Gerlach, Butterfree, raccoon
Miss Olin Marks, Seaking, tortoise
Humberto Reichert, Golem, seal
Ms. Criselda Tromp, Meowth, wasp
Monet Thompson, Clefable, antelope
Mckinley Homenick Sr., Mewtwo, hornet
Jacalyn Mosciski, Tentacool, swan
Hui Hyatt, Clefairy, jellyfish
Keith Langworth, Horsea, clam
