Ms. Kristopher Jast, Tentacruel, goat
Brendon Lubowitz, Tentacruel, gerbil
Ms. Lavada Smith, Nidoking, macaw
Mrs. Queenie Williamson, Caterpie, frog
Mr. Elba Paucek, Grimer, beetle
Cyrstal Haley V, Golduck, elk
China Bailey, Poliwrath, yellowjacket
Keith Hane, Vaporeon, spider
Agripina Block, Doduo, pug
Josiah Erdman, Clefairy, goose
Phyliss Buckridge IV, Onix, tiger
Tonita Wehner, Aerodactyl, baboon
Antwan Koch, Weezing, goat
Dalton Labadie, Arcanine, hamster
Delma Harber, Gastly, bee
Christina Rowe, Hypno, ant
Miss Loren O'Connell, Ivysaur, mouse
Levi Runte, Snorlax, camel
Miss Erlinda Maggio, Slowbro, crocodile
Benton Feeney, Kabutops, woodchuck
Luke Parisian, Raichu, impala
Vilma Wehner, Magmar, yak
Ms. Asley Zemlak, Vulpix, weasel
Raven Zulauf MD, Kangaskhan, kangaroo
Bettye Walter II, Paras, yellowjacket
Honey Kuhic Sr., Nidoran, water buffalo
Jarrod West, Doduo, snail
Alexander Bednar, Wartortle, camel
Daren Medhurst, Dewgong, crow
Heath Adams, Articuno, hare
Sari Von, Golem, alpaca
Chauncey Johns, Magmar, antelope
Oliva Doyle, Ninetales, water buffalo
Trisha Veum, Weepinbell, hamster
Mr. Randal Wolf, Arcanine, sea lion
Efren Bauch, Vulpix, tiger
Ms. Alejandro Collier, Gengar, seal
Haley Corkery, Poliwhirl, bear
Miss Markus Weissnat, Nidorino, gnat
Davida O'Keefe, Growlithe, jellyfish
Providencia Goyette Jr., Charizard, butterfly
Anderson Kovacek, Nidorina, buffalo
Marine Durgan, Pikachu, frog
Armando Pouros, Poliwrath, whale
Dr. Eldon Lehner, Psyduck, cat
Shavon Corwin, Machoke, platypus
Mrs. Angelique Keeling, Clefable, eagle
Hassan Beier, Electrode, cockroach
Lana Conroy, Fearow, hamster
Ilona Cronin, Tentacool, cheetah
