Benedict Ratke, Victreebel, baboon
Ms. Sima Wiegand, Mankey, antelope
Gale Dach V, Grimer, minnow
Portia Hansen III, Wartortle, hornet
Merna Kiehn, Graveler, chinchilla
Adan O'Connell, Vaporeon, coyote
Eunice Pouros, Goldeen, alligator
Mrs. Jenee Cummings, Kabuto, termite
Jami Hahn, Ekans, minnow
Keith Kihn, Meowth, locust
Dr. Clinton Wisoky, Lapras, gnu
Del Hammes, Tauros, alpaca
Mrs. Florencio Ratke, Caterpie, buffalo
Morgan Schamberger, Venonat, zebra
Dan Swaniawski, Exeggcute, lion
Madalene Johnston MD, Ditto, locust
Mirta Rempel II, Voltorb, gorilla
Steve Padberg Jr., Zubat, jackal
Terrance Bartoletti Jr., Venusaur, jellyfish
Nick Stokes, Ditto, gnat
Irwin Wunsch, Snorlax, cod
Rueben Brakus, Mr. Mime, chimpanzee
Dr. Jessie Jacobi, Venomoth, ferret
Yong Smith, Doduo, reindeer
Mikaela Raynor, Ditto, hyena
Kia Aufderhar, Parasect, toad
Steve Kirlin, Alakazam, eel
Darcel Macejkovic MD, Onix, otter
Vi Witting, Kabuto, goldfish
Jamal Crist, Doduo, yak
Cecille Langworth, Beedrill, zebra
Glen Metz, Diglett, muskrat
Shawn Collier, Hitmonlee, hound
Bradford Harvey, Hitmonlee, wallaby
Earle D'Amore, Jolteon, camel
Marcelino Ryan, Primeape, goat
Gwendolyn Hermann, Venomoth, cod
Asa Hamill, Kabutops, mink
Kyle Wilderman, Zubat, locust
Arleen O'Reilly, Rhyhorn, trout
Ethan Murphy, Zapdos, mosquito
Terrell Rath, Drowzee, hare
Foster Effertz Sr., Vulpix, crocodile
Carin Daniel PhD, Flareon, llama
Russell Veum I, Cloyster, bear
Leroy Kunze DDS, Exeggcute, donkey
Joey Schoen, Squirtle, whale
Ronald Ankunding, Weezing, tiger
Brett Haag, Venonat, worm
Kasandra Herzog, Nidoran, leopard
