Mrs. Loree Schiller, Electrode, elk
Clement Davis, Exeggcute, macaw
Patrica Raynor, Seadra, gerbil
Bertha Nitzsche PhD, Graveler, weasel
Alverta Ferry, Mew, prairie dog
Isiah Armstrong, Bulbasaur, cod
Tatum Rodriguez, Metapod, giraffe
Phil Aufderhar, Paras, ox
Dr. Woodrow Hermiston, Moltres, chimpanzee
Fonda Morissette, Kangaskhan, mole
Cyrus Reichert, Golduck, hornet
Walker Predovic, Fearow, moose
Clair Ritchie, Gengar, sea lion
Roseline Erdman, Zapdos, gnat
Caryn Pacocha, Blastoise, antelope
Hsiu Heidenreich, Weezing, whale
Erin Rolfson Sr., Raticate, sheep
Dalila Konopelski DDS, Jolteon, yak
Giuseppe Wuckert, Venusaur, baboon
Melodie Parker, Goldeen, ox
Keenan Runolfsson, Seaking, guinea pig
Luella Langosh DDS, Dratini, hare
Simone Watsica, Staryu, mole
Debera Hilpert, Magneton, scorpion
Dr. Herschel White, Goldeen, trout
Bill Romaguera, Poliwhirl, porpoise
Mrs. Junie Powlowski, Exeggcute, jackal
Mr. Elwood Mann, Rhydon, badger
Gregorio Aufderhar, Primeape, grasshopper
Nova Lehner, Raichu, llama
Otilia Renner, Koffing, donkey
Odell Hyatt, Koffing, jellyfish
Nerissa Hilll, Alakazam, whale
Chara Nienow MD, Arbok, goat
Clemente Krajcik, Pikachu, horse
Felice Wintheiser, Exeggcute, goose
Bert Simonis, Raichu, crocodile
Lesia Murazik, Lapras, wildebeest
Basil Greenfelder, Horsea, dolphin
Merna Kreiger, Nidorina, chimpanzee
Andrea Prosacco, Seaking, jackal
Karyl Koelpin, Omanyte, muskrat
Kendall Willms, Pidgey, eagle
Chang Ebert, Koffing, koala
Johnnie Kuhic, Cubone, raccoon
Mr. Felix O'Connell, Moltres, reindeer
Vanna Harber, Slowbro, fish
Alesha Runte, Slowpoke, mink
Candie Gutkowski, Dugtrio, swan
Domingo Brekke, Seaking, porpoise
