Valentina Weimann, Shellder, sheep
Wanetta Lowe V, Sandslash, hamster
Andre Spencer, Dugtrio, gnat
Jamal Fadel, Oddish, hamster
Blair McKenzie, Hypno, goose
Bradford Murphy, Clefable, seal
Dahlia Christiansen, Victreebel, wolf
Diane Mueller, Kangaskhan, fish
Bob Sauer, Butterfree, sea lion
Hoa Gusikowski DDS, Drowzee, mule
Mrs. Fidel Mohr, Mankey, cockroach
Ty Block, Persian, termite
Jaclyn Abernathy, Staryu, pig
Dino Labadie IV, Paras, serval
Mr. Sheldon Hettinger, Parasect, dolphin
Un Heidenreich, Ninetales, goldfish
Ryan Armstrong, Exeggutor, goldfish
Roderick Gusikowski DVM, Sandslash, ox
Jesse Fay, Raticate, trout
Nathan Glover, Mankey, turtle 
Cary Bailey DVM, Metapod, lizard
Pilar Carter, Machamp, moose
Drew Hessel, Mankey, monkey
Maida Bogisich, Vulpix, bee
Jerald Hand, Wigglytuff, alligator
Oswaldo Kozey, Hitmonchan, otter
Mr. Scotty Crooks, Ditto, beetle
Ali Rice, Kadabra, trout
Von Welch, Krabby, gorilla
Ossie Herzog, Ivysaur, serval
Christen Leannon Jr., Venusaur, eagle
Wesley Quitzon, Tentacool, marten
Earnest Farrell, Lapras, porcupine
Deena Hermiston MD, Charizard, macaw
Miss Amos Glover, Ninetales, coyote
Carissa Kreiger, Paras, sea lion
Malcom O'Conner, Victreebel, porpoise
Simon Kunde, Seadra, ape
Marlin Kuhlman, Seel, hippopotamus
Orlando Nitzsche Jr., Arcanine, water buffalo
Carmen Gutmann, Staryu, bat
Rosalind Mertz Jr., Weepinbell, cattle
Lacy Rolfson, Hypno, worm
Usha Marks, Fearow, panda
Adam Kulas, Kingler, jellyfish
Raven Champlin, Flareon, weasel
Lou Rau, Hitmonlee, cheetah
Mr. Francesca Walter, Slowbro, mallard
Mary Willms Jr., Gloom, lizard
Shantell Greenholt Sr., Dodrio, baboon
