Treva Thompson, Muk, hippopotamus
Mrs. Columbus Braun, Ninetales, raven
Novella Satterfield, Magneton, scorpion
Janita Cartwright, Marowak, frog
Loyd Harris DDS, Vulpix, bat
Josefine Wilderman Sr., Nidorina, giraffe
Brittany Stark, Kadabra, beaver
Dotty Kuhic, Omastar, monkey
Charla Hoeger, Lapras, gorilla
Rickey Friesen, Slowpoke, jellyfish
Leslee Roberts, Squirtle, gnat
Brianna Frami, Ekans, yellowjacket
Nathalie Hansen, Goldeen, frog
Derick Heidenreich, Poliwhirl, scorpion
Mohammad Russel, Dewgong, camel
Mrs. Lizzette Lowe, Tauros, bat
Alise Powlowski, Machamp, bat
Marianna Conn, Graveler, macaw
Damian Schuster, Venusaur, mallard
Cordelia Collier I, Arbok, chinchilla
Ernestine Stroman, Nidoqueen, monkey
Jamey Klocko, Articuno, wolf
Latina Schultz, Chansey, cod
Ms. Elly Strosin, Dugtrio, chimpanzee
Dr. Lynn Senger, Moltres, panda
Tamala Nicolas Sr., Golbat, donkey
Drusilla Gerlach, Clefairy, reindeer
Effie Greenfelder, Rattata, gnat
Lucrecia Romaguera IV, Doduo, goat
Alonzo Waters, Nidoqueen, deer
Eugenio Hintz, Starmie, raven
Kareem Ziemann, Nidoran, frog
Whitney Berge, Metapod, alpaca
Margarite Bashirian, Bellsprout, baboon
Dexter Nader, Magneton, chimpanzee
Oswaldo Weber, Chansey, salmon
Dr. Coletta Kub, Horsea, lizard
Mr. Lamar Luettgen, Graveler, gnat
Sang Thompson, Gloom, pig
Dino Botsford, Shellder, whale
Blanca Fay, Rhyhorn, tortoise
Reena Upton, Magnemite, hamster
Mariano Pfeffer, Graveler, worm
Maxima Huels, Charmander, llama
Rosalba Bartell, Poliwhirl, fly
Alisa Morissette, Ditto, monkey
Jacquelyn Nader, Arbok, rhinoceros
Rochel Bechtelar, Poliwhirl, otter
Trish Walsh, Wartortle, cod
Billie Greenholt, Farfetch'd, manatee
