Enoch Lind, Magnemite, dolphin
Raye Waelchi, Jigglypuff, hare
Nelia Nader, Vulpix, termite
Vincent Wyman, Shellder, salmon
Leopoldo Schamberger, Magikarp, snail
Mr. Boris Koelpin, Ponyta, butterfly
Levi Hickle IV, Fearow, rabbit
Narcisa Bradtke, Pidgeot, gnat
Ms. Toccara Hagenes, Kabutops, guinea pig
Mr. Gussie Little, Golem, zebra
Mr. Ted Borer, Hypno, goose
Kenisha Will, Lickitung, chimpanzee
Mrs. Hana Beier, Exeggcute, elk
Bernard Blick, Aerodactyl, cattle
Ramiro Dicki, Zubat, eel
Alvin McKenzie, Golem, deer
Janelle Tromp, Machamp, scorpion
Ms. Joan Friesen, Venonat, impala
Irwin Heidenreich, Caterpie, hamster
Cleveland Mann, Rapidash, mosquito
Lucio Baumbach Sr., Charmeleon, swan
Mrs. Milan Padberg, Poliwhirl, salmon
Ms. Clare Heathcote, Parasect, shark
Kalyn Brekke, Dodrio, snail
Jospeh Kuhn, Scyther, ant
Lonny Lang I, Vileplume, badger
Erminia Stroman, Victreebel, jackal
Brent Breitenberg, Cubone, bat
Cherrie Crooks DDS, Butterfree, wolf
Miss Royce Kilback, Geodude, lion
Ms. Roscoe Pagac, Vaporeon, goose
Sheree Jast DDS, Sandshrew, bear
Tamesha Reilly MD, Nidoran, eel
Francesco Olson, Raichu, skunk
Louise Cassin, Clefable, crow
Mr. Anibal Hayes, Wartortle, ant
Courtney Mitchell, Golbat, mosquito
Leroy Reichel III, Raticate, eel
Calvin Sipes, Charmeleon, otter
Dorthey Cruickshank, Wigglytuff, alligator
Darren Conroy, Kakuna, swan
Bo Beahan, Magneton, trout
Mr. Zachary Ruecker, Pinsir, platypus
Don Orn, Electabuzz, hornet
Harvey Hills, Rapidash, sardine
Valene Prohaska, Wartortle, monkey
Milton Orn, Squirtle, fly
Ethel Gutkowski, Dratini, muskrat
Clarence Blick, Raichu, reindeer
Britt Schmidt, Vileplume, macaw
