Rosendo Weber, Wigglytuff, jackal
Antoine Goodwin, Venusaur, yak
Robin Lynch, Muk, turtle 
Dr. Marcellus O'Hara, Diglett, turtle 
Tommy Bins, Venusaur, rhinoceros
Alfred Sipes, Pinsir, badger
Miss Loreen Schulist, Seel, mink
Earnest Rogahn, Tentacruel, mole
Barbera D'Amore, Magmar, scorpion
Young Kuvalis, Machamp, jellyfish
Trudi Kshlerin, Butterfree, duck
Janina Hamill, Gyarados, dolphin
Duncan Lueilwitz, Goldeen, hedgehog
Lindy Hilpert DVM, Abra, elk
Wilton Anderson, Machamp, hound
Jae Marks, Machoke, woodchuck
Ryan Cummings, Machoke, water buffalo
Ms. Reynaldo Skiles, Kadabra, hamster
Kandi Hessel MD, Snorlax, louse
Randall Gibson, Primeape, frog
Mrs. Albertine Borer, Clefable, hamster
Kassie Murray, Wigglytuff, raccoon
Alise Buckridge, Farfetch'd, grasshopper
Marty Purdy, Parasect, walrus
Magaly Grady DVM, Poliwag, ant
Breanne Douglas, Weepinbell, llama
Mrs. Bryce Schmidt, Electrode, beetle
Mr. Jame McDermott, Pinsir, cicada
Jimmie Bayer, Porygon, chinchilla
Gabrielle Macejkovic, Shellder, wallaby
Matthew Barton, Tentacruel, alpaca
Taryn Goyette, Clefable, tiger
Desmond Gleichner, Voltorb, skunk
Elden Luettgen, Weedle, spider
Jarod Yundt, Graveler, koala
Harland Hudson, Aerodactyl, yellowjacket
Patricia Kulas, Haunter, scorpion
Amelia Goldner, Tangela, weasel
Ela Bartell, Eevee, hare
Elnora Champlin, Pidgey, fly
Blaine Schaden DDS, Kangaskhan, horse
Yolando Keeling, Venonat, louse
Esteban Altenwerth, Machop, jackal
Ms. Moira Dooley, Magmar, mallard
Freddy Abbott, Scyther, cattle
Lorette Lemke, Pidgeotto, goose
Dr. Ethan McLaughlin, Wartortle, mosquito
Frankie Durgan, Snorlax, dog
Shondra Huel, Mew, clam
Tracy King, Hitmonchan, spider
