Ms. Julianne Schiller, Magmar, termite
Mathew Kunze II, Tauros, frog
Nanette Durgan, Doduo, toad
Donnette Bergnaum, Parasect, cattle
Adam Collier, Persian, cattle
Dorian Nicolas, Dratini, chimpanzee
Jeffry Treutel, Magneton, reindeer
Rolland Swaniawski, Clefairy, salmon
Kori Trantow V, Koffing, leopard
Rebecka Spinka, Pidgeotto, whale
Julius Grimes, Wartortle, prairie dog
Bernard Ullrich, Tangela, trout
Windy Bogisich, Seadra, eel
Dr. Lu Casper, Rattata, raccoon
Troy Sawayn II, Weepinbell, woodchuck
Bernadette Konopelski, Mew, hornet
Jacquetta Schumm, Drowzee, snake
Miss Salvatore Kulas, Aerodactyl, cicada
Darnell Sanford, Nidoran, dolphin
Aldo Cremin, Magnemite, hornet
Darcel Bechtelar, Koffing, ape
Allan Kshlerin, Hypno, goldfish
Mozell Kutch, Pidgeot, cockroach
Mechelle Renner, Bellsprout, alligator
Javier Rath, Omanyte, louse
Mrs. Broderick Ferry, Gengar, kangaroo
Sadye Buckridge, Jolteon, llama
Aretha Frami, Fearow, raccoon
Jean Schowalter, Snorlax, cod
Ms. Meredith Monahan, Hitmonlee, sardine
Monroe Jacobson, Clefable, gorilla
Frederick Turcotte, Magmar, alpaca
Ellsworth Cole, Psyduck, bat
Charles Becker, Nidorina, jackal
Miss Gerardo Yost, Onix, gnu
Mrs. Karoline Kreiger, Weedle, baboon
Dr. Latina Aufderhar, Slowpoke, seal
Sharyl Hammes, Weezing, crab
Retha Murray, Machop, jackal
German Runolfsson V, Oddish, spider
Alissa Waelchi, Abra, llama
Bernardina Jacobs, Marowak, trout
Mr. Mina Hodkiewicz, Clefable, lion
Gabriel Fadel, Grimer, spider
Emilio Keeling, Rattata, mosquito
Abdul Moore, Gyarados, cricket
Tracey Kohler, Bellsprout, gnat
Mrs. Nickie Harvey, Drowzee, alpaca
Alphonso Lockman, Meowth, raven
Latisha Corkery Sr., Golbat, giraffe
