Rupert Cruickshank, Rapidash, manatee
Misti Simonis I, Omastar, scorpion
Mr. Frank Wyman, Sandslash, wildebeest
Brady Kihn, Goldeen, whale
Kassandra Hessel, Krabby, minnow
Roseanne West, Flareon, locust
Miss Francesco Price, Golem, horse
Tennille Dibbert, Pidgeotto, sea lion
Sally Hyatt IV, Hitmonchan, cat
Dr. Zack Pollich, Nidoking, llama
Lester Dickens, Starmie, cod
Melisa Schinner, Arcanine, muskrat
Ms. Mervin Emmerich, Weezing, impala
Salina Mayert PhD, Vileplume, dolphin
Salvador Ratke, Tentacool, toad
Minta Simonis, Machamp, crow
Antoine Franecki, Haunter, gorilla
Dr. Ashley Spinka, Gastly, elephant
Oswaldo Runte, Rapidash, macaw
Georgetta Heller, Hitmonlee, zebra
Teri Kling, Bulbasaur, ape
Wendell Yundt, Porygon, wasp
Nada Donnelly, Kabuto, snake
James Lakin, Staryu, water buffalo
Latesha Willms Sr., Charmeleon, serval
Tyree Schimmel, Dragonair, ape
Randy Gleichner, Charmeleon, jackal
Pete Parisian, Diglett, hedgehog
Candyce Carroll, Machamp, ant
Mrs. Phebe Beier, Alakazam, sheep
Margarito Reynolds, Poliwhirl, muskrat
Dr. Ja Bednar, Growlithe, salmon
Susann Torp, Scyther, sardine
Iona Greenholt, Victreebel, lizard
Antoine Jast II, Ditto, dolphin
Barton Schinner, Tentacool, cheetah
Antione Ernser, Lickitung, gerbil
Jon Mertz, Nidoqueen, monkey
Jan Olson, Drowzee, dolphin
Nicolette Hettinger, Sandshrew, pig
Lucius Pouros DDS, Nidoran, rat
Roberto Olson, Snorlax, pig
Deana Shields, Nidoqueen, whale
Mrs. Hunter Konopelski, Nidoran, bear
Tiffanie Pouros, Pidgeot, cat
Charlie Kessler, Clefairy, alpaca
Dr. Dino Hills, Ekans, weasel
Bobbie Adams, Dewgong, mammoth
Mollie Klein, Gyarados, cod
Alberta Weissnat V, Muk, swan
