Arleen Kub, Farfetch'd, koala
Young Aufderhar, Pinsir, llama
Ms. Carson Lemke, Beedrill, wombat
Ruthann Emmerich, Articuno, llama
Nickolas Pfannerstill, Cubone, locust
Zoe Reinger, Clefable, badger
Raymundo Johnston PhD, Persian, raven
Amada Lueilwitz, Golduck, marten
Rueben Witting, Horsea, porcupine
Ruben Casper, Kabutops, ant
Young Grady, Onix, dolphin
Charlie Padberg, Omanyte, lion
Aurelio Klocko PhD, Drowzee, goat
Leandra Hayes I, Persian, moose
Judi Rosenbaum, Nidoking, raccoon
Ms. Fanny Nitzsche, Jigglypuff, muskrat
Clint Spinka DDS, Kingler, porcupine
Minh Ortiz, Chansey, frog
Pete Collins, Rapidash, goldfish
Tanesha Bauch, Machoke, weasel
Brad Spencer, Pinsir, macaw
Eduardo Kuhlman PhD, Graveler, porcupine
Jasper O'Keefe, Raticate, water buffalo
Jacelyn Boyer, Clefairy, turtle 
Bert Torphy, Poliwrath, badger
Heath Pouros, Venusaur, eel
Kayleen Blanda, Charmander, leopard
Stormy Koch DVM, Slowpoke, panda
Neely Bechtelar III, Blastoise, antelope
Zachary Kassulke, Alakazam, moose
Perry O'Connell, Gloom, mosquito
Russ Reilly, Gyarados, eagle
Emmanuel Gaylord, Tangela, cattle
Kassie Fisher, Venomoth, shark
Willie O'Kon, Ponyta, prairie dog
Adrienne Bashirian, Vulpix, grasshopper
Joni Lind, Clefairy, mink
Robt Quitzon, Staryu, chinchilla
Nikki Sporer MD, Raticate, impala
Epifania Mitchell, Dugtrio, pig
Lamont Abbott, Gengar, clam
Maribel Olson Sr., Drowzee, jellyfish
Jeromy Reynolds, Magneton, mule
Shara Veum, Tentacruel, mosquito
Maple Ernser, Articuno, lion
Deshawn Von, Butterfree, panda
Merlin Russel, Geodude, guinea pig
Kenya Johnson I, Krabby, trout
Ms. Todd Hilll, Snorlax, koala
Kate Ondricka, Onix, oyster
