Lawrence Bruen, Eevee, skunk
Isaiah Heaney, Nidoran, baboon
Kenny Huel, Rhyhorn, walrus
Hope Schoen Sr., Electabuzz, dog
Hobert Schmidt, Metapod, giraffe
Terry Stracke III, Articuno, worm
Clarinda Schaden, Horsea, fish
Ami Lebsack, Dragonair, crow
Shery Dibbert, Gyarados, porcupine
Steve Abshire, Pidgeotto, mole
Miss Elayne Mitchell, Moltres, jackal
Mr. Kevin Gibson, Porygon, porpoise
Mr. Karleen Jacobson, Slowbro, chimpanzee
Lorita Prosacco, Pidgey, walrus
Dorris Kihn I, Electabuzz, locust
Mrs. Jessika Carroll, Clefable, mink
Osvaldo Huels MD, Electrode, mammoth
Young Skiles Jr., Machop, alligator
Coleman Glover, Venonat, hare
Yuonne Wyman, Electabuzz, wombat
Ms. Sharda Kuphal, Raichu, coyote
Owen Bernier, Charmeleon, horse
Mitch Green, Sandshrew, hippopotamus
Warren Bashirian, Squirtle, ape
Jon O'Reilly V, Gastly, otter
Geri Stroman, Muk, donkey
Kathrin Jast, Blastoise, armadillo
Annabelle Boyer V, Lapras, impala
Luther Considine, Dragonite, wildebeest
Marnie Wolf, Beedrill, whale
Federico Bode, Arcanine, hornet
Mr. Ramona Feest, Wigglytuff, otter
Graig Berge, Clefable, coyote
Anamaria Kreiger, Hypno, mule
Leon Herzog, Sandslash, scorpion
Leandro Macejkovic, Fearow, scorpion
Ilene Fritsch, Hitmonlee, llama
Marguerita Hickle, Nidoking, toad
Virgie Douglas, Beedrill, otter
Reda Labadie, Kangaskhan, hyena
William Balistreri, Dragonite, buffalo
Toshia Leannon, Gyarados, pug
Mr. Asa Mueller, Seaking, cattle
Yee Schaefer, Weedle, mallard
Estelle Beatty, Diglett, minnow
Ms. Stacy Hyatt, Drowzee, frog
Bruno Jerde, Dragonite, sardine
Cleo Harber, Machop, mule
Cordell Feest PhD, Starmie, giraffe
Yu Douglas, Poliwrath, goose
